scaler,nCluster,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
RobustScaler,19,0,90.50541223585606,98.6366613821349,9.438895570778644,0.006588441981399786,0.000923041421483789,1.0,0.0004617338104582708,5.786789894104004,1.47660231590271
RobustScaler,22,0,81.28761423463413,96.45552555915297,9.705590127072112,0.00696397650782998,0.007244293681366067,0.9402985074626866,0.0036361537573588827,6.9843549728393555,1.7262089252471924
RobustScaler,25,0,77.96633942535468,96.10257283112608,9.402290435601108,-0.010275572548443855,0.00023082693750360668,0.6666666666666666,0.0001154334526145677,6.332211971282959,1.5302047729492188
RobustScaler,28,0,80.74703944027686,97.3008078497539,10.965852638184385,0.03935750606575095,0.03415021556614477,0.9966887417218543,0.01737273461849244,6.235828399658203,1.3405203819274902
RobustScaler,31,0,85.54327691354715,97.89601668032013,10.965852638184385,0.03935750606575095,0.03415021556614477,0.9966887417218543,0.01737273461849244,7.682100296020508,1.639672040939331
RobustScaler,34,0,86.32037144776352,98.01923393950835,10.965852638184385,0.03935750606575095,0.03415021556614477,0.9966887417218543,0.01737273461849244,7.339857816696167,1.517615795135498
RobustScaler,37,0,86.0405336507143,98.05294976808374,10.934476808032212,0.038929523683426726,0.03348087617750539,0.9966216216216216,0.017026434260648735,7.753288269042969,1.5047049522399902
RobustScaler,40,0,83.63014569346181,97.67669166823015,10.913559587930765,0.03864173459065653,0.033034396639800206,0.9965753424657534,0.0167955673554196,6.977554559707642,1.5110459327697754
RobustScaler,43,0,86.20638653402291,97.97349973533191,10.897871672854679,0.03842456607193968,0.03269940391711609,0.9965397923875432,0.016622417176497747,7.328091621398926,1.4740018844604492
RobustScaler,46,0,85.91739178724067,97.9094705149116,10.934476808032212,0.038929523683426726,0.03348087617750539,0.9966216216216216,0.017026434260648735,8.394148826599121,1.8355662822723389
RobustScaler,49,0,82.57642198821628,97.26739425234655,10.965852638184385,0.03935750606575095,0.03415021556614477,0.9966887417218543,0.01737273461849244,6.474683046340942,1.6142544746398926
RobustScaler,52,0,82.45706366973931,96.79066569691459,9.862469277832977,0.01966496234391981,0.010334730435781135,0.989010989010989,0.005194505367655547,6.95310640335083,1.696610689163208
