Dataset,Model,scaled,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_N_BaIoT.csv,SUOD,RobustScaler,0,98.42328733199757,99.81802284748895,99.16113860517356,0.9497393827864129,0.99539401414558,0.9908302639656231,1.0,0.31137752532958984,2.843231439590454
data_N_BaIoT.csv,SUOD,RobustScaler,1,91.33326410014895,98.41010039477355,61.46151416236706,0.2959790286337581,0.7326776062716074,0.9867532297199816,0.5826524685382382,0.3319230079650879,2.8398163318634033
data_N_BaIoT.csv,SUOD,RobustScaler,3,86.62333105057485,97.4993863392793,56.607349689375596,0.26473568042975903,0.6884717147536853,0.9856421356421357,0.5289835430784124,0.3206448554992676,2.8274571895599365
data_N_BaIoT.csv,SUOD,RobustScaler,5,82.69269398666222,96.83248912574159,45.821487487276684,0.20260895802727313,0.5782513661202185,0.9820881670533642,0.40975798644724104,0.4248790740966797,2.9051568508148193
data_CICIoT2023.csv,SUOD,StandardScaler,0,64.4344310700804,97.97854795295844,41.74845084575448,0.06697897555162746,0.5748233625895411,0.9838480207548749,0.4060233473786005,0.08043050765991211,0.8011617660522461
data_CICIoT2023.csv,SUOD,StandardScaler,1,71.48003220232913,98.60153625136644,52.73153575615475,0.10550565352093458,0.6805505251720391,0.9875180659571673,0.5191683359812116,0.07919478416442871,0.8444950580596924
data_CICIoT2023.csv,SUOD,StandardScaler,3,68.51736272400242,98.3464189898198,45.38603249037012,0.08282778900429823,0.6114989635206939,0.9859393008067614,0.44318574290253504,0.08381152153015137,0.7922616004943848
data_CICIoT2023.csv,SUOD,StandardScaler,5,65.32716329020344,98.04072352062931,40.043543795009214,0.06702350291769807,0.5565355267069666,0.9843996494303243,0.38792567520895216,0.08243918418884277,0.7712492942810059
data_CICIoT2023.csv,SUOD,QuantileTransformer,0,91.41565361014682,99.69983744601261,69.85094624016077,0.2364004540351206,0.8162348665809191,0.9981524941329205,0.6904054707467017,0.07936978340148926,0.7890000343322754
data_CICIoT2023.csv,SUOD,QuantileTransformer,1,90.5454263745846,99.670964772791,67.89482498743929,0.22585827810204623,0.801950534124016,0.9980970014915393,0.6702355460385439,0.07917404174804688,0.779456377029419
data_CICIoT2023.csv,SUOD,QuantileTransformer,3,90.04304504745826,99.65097445508432,67.04739574610618,0.22225916754265476,0.7956377233070212,0.998175753153341,0.6614284727498791,0.080780029296875,0.7690789699554443
data_CICIoT2023.csv,SUOD,QuantileTransformer,5,89.77396654358625,99.64138123220562,66.2870540947915,0.21920560976563844,0.7899142123609343,0.9982590345555262,0.6535193755612351,0.08106303215026855,0.7676312923431396
data_CICIoT2023.csv,SUOD,MinMaxScaler,0,61.775803128189025,97.7339917919123,37.58499413833529,0.05349699320939421,0.5301326340208785,0.9820627802690582,0.3630586447468398,0.07776784896850586,0.7774960994720459
data_CICIoT2023.csv,SUOD,MinMaxScaler,1,67.1422606350906,98.12613804579937,48.16278680288059,0.08922672588434133,0.6385294529826692,0.9862193362193362,0.4720936658147406,0.07806205749511719,0.7610244750976562
data_CICIoT2023.csv,SUOD,MinMaxScaler,3,66.72097736721503,98.23193159308265,48.6183218891308,0.0933684949182044,0.6427240544065586,0.9868402231440423,0.47654900877253575,0.07903790473937988,0.7657372951507568
data_CICIoT2023.csv,SUOD,MinMaxScaler,5,65.80966540596333,98.16724646127768,35.48819293250712,0.05465790987641864,0.5060271864580662,0.9829613391789558,0.3407128548732472,0.08010149002075195,0.7677273750305176
data_CICIoT2023.csv,SUOD,Normalizer,0,34.21729955978242,96.13984977235476,15.00251214201976,0.012704474139427402,0.22435505563027264,0.9755449229133439,0.12675278027215583,0.07474660873413086,0.7445151805877686
data_CICIoT2023.csv,SUOD,Normalizer,1,38.27424755881674,96.35745694957001,15.046055937028974,0.011804431402821112,0.22515504231203984,0.9751256946282085,0.12727084340678319,0.07619404792785645,0.7431557178497314
data_CICIoT2023.csv,SUOD,Normalizer,3,43.40132079841598,97.01163160072086,20.411991291240998,0.036772397848331945,0.3078043522591546,0.983249581239531,0.1824618360157491,0.07826924324035645,0.7388453483581543
data_CICIoT2023.csv,SUOD,Normalizer,5,48.046194748652944,97.38687669439796,24.80656506447831,0.055167072541282725,0.36988800628736634,0.9874119586392927,0.2275678662706362,0.07693934440612793,0.7420060634613037
data_CICIoT2023.csv,SUOD,RobustScaler,0,59.3228288094775,97.63744776020484,33.28085747780941,0.03926714033652279,0.48088400093820854,0.9797175321227567,0.31864336533812254,0.07851028442382812,0.7745771408081055
data_CICIoT2023.csv,SUOD,RobustScaler,1,67.40660316409887,98.27487275826597,45.412828671914255,0.08180016904267605,0.611819069623419,0.9857241538107299,0.44356565586792845,0.07827401161193848,0.7639238834381104
data_CICIoT2023.csv,SUOD,RobustScaler,3,64.87769991774621,98.12902782333373,45.86501423547145,0.0848022801837863,0.6161956779862265,0.9861660079051383,0.44809007391034056,0.07872939109802246,0.7863032817840576
data_CICIoT2023.csv,SUOD,RobustScaler,5,63.64554913810625,97.93272894618828,34.412996148048904,0.051060869271540674,0.49362538467506273,0.9823983530622749,0.32962630379222213,0.08139801025390625,0.7694921493530273
data_BoTIoT.csv,SUOD,StandardScaler,0,67.55623400964944,91.8122094244157,18.14188600313753,-0.051282063423680094,0.2016795294597627,0.8652275379229871,0.11414277467769868,0.11145377159118652,0.5251734256744385
data_BoTIoT.csv,SUOD,StandardScaler,1,68.36584211689079,91.98069977443778,18.18371971413631,-0.050789622435080034,0.20241291418861512,0.8656976744186047,0.11460457956513373,0.11013150215148926,0.543886661529541
data_BoTIoT.csv,SUOD,StandardScaler,3,65.01673258788901,90.83408929110011,14.003834756841554,-0.11483280449929906,0.12667280322877575,0.7912428129146395,0.06884741196844334,0.1139688491821289,0.529102087020874
data_BoTIoT.csv,SUOD,StandardScaler,5,65.61292198490582,90.4058250640952,14.1188774620882,-0.11426729237321699,0.1291668139559546,0.79296875,0.07030979411198769,0.11195826530456543,0.5389118194580078
data_BoTIoT.csv,SUOD,QuantileTransformer,0,86.28988519017382,97.23713594836158,61.68380686770089,0.252578326811123,0.737465663442016,0.972103274559194,0.5940735039445834,0.11772871017456055,0.5507173538208008
