Dataset,Model,outlier_mode,scaler,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_ToNIoT.csv,SUOD,local,QuantileTransformer,76.89924577155108,95.41309758857825,26.614285714285714,0.07147866652711969,0.3138773874716175,0.9384984025559105,0.1884522854851644,1.798905849456787,0.88450026512146
data_ToNIoT.csv,SUOD,cluster,QuantileTransformer,93.6330352528328,99.06844454570472,73.35714285714286,0.4080208232260781,0.8260098889821812,0.984653024911032,0.7113932187048048,0.06427335739135742,0.1638505458831787
data_ToNIoT.csv,SUOD,global,QuantileTransformer,99.69885312223288,99.95847559155105,99.45714285714286,0.9715411588110877,0.9969653409998402,0.9944240879400987,0.9995196156925541,0.06404280662536621,0.1698007583618164
data_CICIoT2023.csv,SUOD,local,QuantileTransformer,91.86641632886689,93.36536144925677,83.5,0.6526361594801836,0.8747152619589977,0.9455909943714822,0.81372351160444,0.06218218803405762,0.23416447639465332
data_CICIoT2023.csv,SUOD,cluster,QuantileTransformer,94.01442307692307,95.18282066163668,92.84285714285714,0.8300461609738399,0.951552074267479,0.9075816270060875,1.0,0.06142878532409668,0.22373533248901367
data_CICIoT2023.csv,SUOD,global,QuantileTransformer,97.44995233555767,97.86384507885806,98.05714285714285,0.9539032566232676,0.986317907444668,0.9730051607780865,1.0,0.06190156936645508,0.23352789878845215
data_BoTIoT.csv,SUOD,local,QuantileTransformer,77.80618217460817,31.62525223803537,81.64285714285714,0.19518731299784942,0.2833240379252649,0.22438162544169613,0.3842662632375189,0.06272673606872559,0.15242695808410645
data_BoTIoT.csv,SUOD,cluster,QuantileTransformer,99.98431372549021,99.68102073365232,91.4,0.6791698706872066,0.6749460043196545,0.5093724531377343,1.0,0.06289911270141602,0.15044569969177246
data_BoTIoT.csv,SUOD,global,QuantileTransformer,99.9057832154088,98.2705552321751,90.37142857142857,0.6598833556747729,0.6550665301944729,0.487062404870624,1.0,0.06280040740966797,0.15228271484375
data_ToNIoT.csv,SUOD,local,MinMaxScaler,85.57860195847675,97.68890616415825,50.0,0.2618941139170115,0.6104185218165628,0.9898916967509025,0.4412616672030898,0.06258821487426758,0.16351771354675293
data_ToNIoT.csv,SUOD,cluster,MinMaxScaler,91.20034201321414,98.56879226350482,70.89999999999999,0.36454483849085706,0.8079932133094543,0.9776459854014599,0.6885140562248996,0.06336855888366699,0.16059160232543945
data_ToNIoT.csv,SUOD,global,MinMaxScaler,99.99940292840968,99.99992495763165,99.87142857142857,0.9935028326293232,0.9992769342010123,0.9985549132947977,1.0,0.06325507164001465,0.17130541801452637
data_CICIoT2023.csv,SUOD,local,MinMaxScaler,91.20174139291943,92.95001224428698,86.31428571428572,0.6942222241453044,0.8986028789161727,0.9354341119435875,0.8645621181262729,0.06197714805603027,0.22556328773498535
data_CICIoT2023.csv,SUOD,cluster,MinMaxScaler,91.62278602202011,93.34727238167648,90.97142857142858,0.7860914699269739,0.939544671895925,0.8859823200432978,1.0,0.0562596321105957,0.2067875862121582
data_CICIoT2023.csv,SUOD,global,MinMaxScaler,96.32282712511937,96.95652173913044,96.77142857142857,0.9234652240121367,0.9774855548914126,0.955962587685113,1.0,0.05943751335144043,0.22803926467895508
data_N_BaIoT.csv,SUOD,local,MinMaxScaler,79.91098102209841,31.73208075458371,75.0,0.17726676869969188,0.28042763157894735,0.20082449941107186,0.4645776566757493,1.9397850036621094,0.5911314487457275
data_N_BaIoT.csv,SUOD,cluster,MinMaxScaler,99.92836676217766,98.76203576341128,80.81428571428572,0.5233518615493921,0.5167326376394387,0.34837457544881123,1.0,2.4656982421875,0.5900826454162598
data_N_BaIoT.csv,SUOD,global,MinMaxScaler,99.96828417380273,99.42693409742121,82.04285714285714,0.533674931077893,0.5247637051039697,0.3557150179395182,1.0,2.857874631881714,0.6246137619018555
data_BoTIoT.csv,SUOD,local,MinMaxScaler,77.27913321242072,28.730058026754833,84.14285714285714,0.2534229406599111,0.3313253012048193,0.2730883813306852,0.4211332312404288,0.05808758735656738,0.11893081665039062
data_BoTIoT.csv,SUOD,cluster,MinMaxScaler,99.69479783981042,96.07080971993145,92.31428571428572,0.7081413006658605,0.7079261672095548,0.5478991596638656,1.0,0.06034660339355469,0.1310899257659912
data_BoTIoT.csv,SUOD,global,MinMaxScaler,99.99196645675562,99.84474961194273,95.85714285714285,0.812726689399418,0.8180677540777918,0.692144373673036,1.0,0.060243844985961914,0.12315058708190918
data_ToNIoT.csv,SUOD,local,Normalizer,94.4538146925349,99.17821728522671,65.68571428571428,0.3537835960468981,0.7638151425762045,0.9890501655207538,0.6221367932083934,0.06076645851135254,0.13845419883728027
data_ToNIoT.csv,SUOD,cluster,Normalizer,89.4396073964791,98.10751513345448,57.599999999999994,0.2712337351202175,0.6931982633863966,0.9781213535589265,0.5368235670829331,0.0788872241973877,0.1359560489654541
data_ToNIoT.csv,SUOD,global,Normalizer,99.9997149441932,99.99996370848208,99.9,0.9950040790180765,0.9994365290187556,0.9990344383649823,0.9998389434691577,0.06311368942260742,0.15613579750061035
data_CICIoT2023.csv,SUOD,local,Normalizer,97.54223586901185,96.71451906761493,79.98571428571428,0.6414254724846331,0.8340637214260334,0.9832449036581961,0.7241875771287536,0.05941629409790039,0.1974349021911621
data_CICIoT2023.csv,SUOD,cluster,Normalizer,87.26400374929291,92.02557220354366,51.25714285714286,0.3080828201005939,0.47892486255345146,0.9560975609756097,0.31947840260798693,0.06226158142089844,0.18268704414367676
