Dataset,Model,outlier_mode,scaler,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_N_BaIoT.csv,CBLOF,local,StandardScaler,94.62491878654605,98.36437133851274,96.98571428571428,0.8296534648565507,0.9833082825725813,0.9891771446761102,0.9775086505190311,1.9280211925506592,0.053388357162475586
data_N_BaIoT.csv,KNN,local,StandardScaler,94.95881265195368,98.48852446649178,98.11428571428571,0.8881513190266285,0.9896062992125984,0.9908546199936928,0.9883611198490091,0.0036411285400390625,0.7968671321868896
data_N_BaIoT.csv,IForest,local,StandardScaler,94.38366705570729,98.83029061558274,90.37142857142857,0.6144812857934365,0.9446724675751109,0.9879807692307693,0.9050015728216421,0.131333589553833,0.38902902603149414
data_N_BaIoT.csv,OCSVM,local,StandardScaler,96.48381267645247,99.30087992937428,98.17142857142858,0.888439466108464,0.989954481243133,0.9879385964912281,0.9919786096256684,0.00609278678894043,0.14032459259033203
data_N_BaIoT.csv,LOF,local,StandardScaler,95.27555737173175,98.64766654577723,98.31428571428572,0.9000238206750255,0.9907086614173228,0.9919583727530747,0.9894620949984272,0.0025031566619873047,0.10895347595214844
data_N_BaIoT.csv,DeepSVDD,local,StandardScaler,91.50205936740232,98.62250713302898,75.67142857142856,0.40404588670665004,0.8469488631257301,0.9880478087649402,0.7411135577225543,1.6645281314849854,0.0075304508209228516
data_N_BaIoT.csv,HBOS,local,StandardScaler,94.26128340286088,99.19196767929694,84.48571428571428,0.5046359327971986,0.9077158395649217,0.9872458410351201,0.8400440390059767,1.5913550853729248,1.0908703804016113
data_N_BaIoT.csv,PCA,local,StandardScaler,93.88775051226949,98.71335587923318,88.27142857142857,0.5725524189158528,0.9317369252515174,0.9883577350502735,0.8812519660270526,0.008271217346191406,0.10405254364013672
data_N_BaIoT.csv,LODA,local,StandardScaler,89.36326692204194,97.41104354189837,67.72857142857143,0.3401217451842225,0.7859376480621624,0.9885578069129917,0.6522491349480969,0.013328790664672852,0.04492783546447754
data_N_BaIoT.csv,ECOD,local,StandardScaler,94.75503180431551,99.00976145714627,23.15714285714286,0.11300180160124686,0.2692568944436898,0.9880358923230309,0.1558666247247562,0.09853768348693848,0.3013792037963867
data_N_BaIoT.csv,COPOD,local,StandardScaler,92.96681689318238,98.44884989217874,22.485714285714288,0.08901265870757212,0.2613667301933025,0.97165991902834,0.15099087763447624,0.004865884780883789,0.3008613586425781
data_N_BaIoT.csv,AutoEncoder,local,StandardScaler,95.98979478842365,99.16814058515216,96.45714285714286,0.8085849154701498,0.9803018268467037,0.990211810012837,0.9705882352941176,1.0994532108306885,0.32236599922180176
data_N_BaIoT.csv,DevNet,local,StandardScaler,49.42133882889954,92.68548282553175,32.64285714285714,0.08706183622079953,0.4236645886810903,0.9506308283049918,0.27256999056307013,0.21162796020507812,0.09924817085266113
data_N_BaIoT.csv,LUNAR,local,StandardScaler,96.18240419262311,99.3081834975213,97.32857142857144,0.8472900683422928,0.9852232319241406,0.9899952358265841,0.9804970116388801,0.7006773948669434,0.1427319049835205
data_N_BaIoT.csv,AE1SVM,local,StandardScaler,95.65800781805049,99.34634862797355,87.58571428571429,0.5665022915493694,0.9273350614599883,0.9900017853954651,0.8721296005033029,1.3843135833740234,0.4383833408355713
data_N_BaIoT.csv,ALAD,local,StandardScaler,37.21217608938723,88.21482661475311,13.528571428571428,-0.02221584166743278,0.10418824922302797,0.8822055137844611,0.05536332179930796,4.549054145812988,0.02170848846435547
data_N_BaIoT.csv,CBLOF,cluster,StandardScaler,95.11362519654088,98.50789067714872,99.08571428571429,0.9439457738187804,0.9949937421777222,0.9900373599003736,1.0,0.6593172550201416,0.018929004669189453
data_N_BaIoT.csv,KNN,cluster,StandardScaler,95.11362519654088,98.50789069036188,99.2,0.9510707314178063,0.9956167814652473,0.9912718204488778,1.0,0.002462148666381836,0.7693662643432617
data_N_BaIoT.csv,IForest,cluster,StandardScaler,96.52063679245283,99.2461280625782,99.14285714285714,0.947512730168717,0.9953051643192489,0.9906542056074766,1.0,0.13228702545166016,0.34307122230529785
data_N_BaIoT.csv,OCSVM,cluster,StandardScaler,97.421875,99.4838104176443,98.68571428571428,0.9187168266465713,0.9928192319700281,0.9857408555486671,1.0,0.0061838626861572266,0.1493053436279297
