Model,data_ToNIoT.csv_AUCROC
ourmodel,78.5059149030234
AE1SVM,56.57288942286809
ALAD,51.515379267921006
AutoEncoder,67.32090984577025
CBLOF,73.91523383548886
COPOD,29.789438386411938
DeepSVDD,62.23685543324139
DevNet,76.35719288550816
ECOD,23.572760644242784
HBOS,66.99430643473178
IForest,75.3827942384317
KNN,82.43121064817457
LODA,69.65167454568359
LOF,76.3569653375523
MO_GAAL,77.88057913793482
OCSVM,48.109448223693065
PCA,52.462213071039486
