Model,scaler,cluster,AUCPR,AUCROC,best_loss,noise_percentage,scaled
KNN,,,89.68157387103692,67.43895218473831,,,Normalizer
DevNet,,,86.25509502449205,38.76616234331486,,,Normalizer
COPOD,,,84.59354588407652,42.98010476228884,,,Normalizer
ECOD,,,82.37690788120317,35.2979282877068,,,Normalizer
ourmodel,StandardScaler,195.0,94.9355537129726,69.69025741450493,4.0,1.0,
LUNAR,,,98.21030190004493,90.56393618162014,,,Normalizer
DeepSVDD,,,96.42270974344372,81.66948773820599,,,Normalizer
HBOS,,,96.24556649690332,81.32875465259175,,,Normalizer
PCA,,,95.88973102554628,78.4051753889359,,,Normalizer
AE1SVM,,,93.44512974629532,68.82534143769298,,,Normalizer
AutoEncoder,,,93.20462085525864,66.6841786342675,,,Normalizer
LODA,,,92.8448215549125,61.96655142093047,,,Normalizer
LOF,,,92.69565056260228,53.64097033612312,,,Normalizer
CBLOF,,,91.02232425978796,59.10110931935895,,,Normalizer
IForest,,,91.01119444915456,65.22686315858256,,,Normalizer
OCSVM,,,90.19007592490084,49.33602474994901,,,Normalizer
ALAD,,,90.00961810464071,49.74293316407352,,,Normalizer
KNN,,,89.68157387103692,67.43895218473831,,,Normalizer
DevNet,,,86.25509502449205,38.76616234331486,,,Normalizer
COPOD,,,84.59354588407652,42.98010476228884,,,Normalizer
ECOD,,,82.37690788120317,35.2979282877068,,,Normalizer
ourmodel,QuantileTransformer,30.0,90.06206872637748,50.0,12.0,1.0,
LUNAR,,,98.21030190004493,90.56393618162014,,,Normalizer
DeepSVDD,,,96.42270974344372,81.66948773820599,,,Normalizer
HBOS,,,96.24556649690332,81.32875465259175,,,Normalizer
PCA,,,95.88973102554628,78.4051753889359,,,Normalizer
AE1SVM,,,93.44512974629532,68.82534143769298,,,Normalizer
AutoEncoder,,,93.20462085525864,66.6841786342675,,,Normalizer
LODA,,,92.8448215549125,61.96655142093047,,,Normalizer
LOF,,,92.69565056260228,53.64097033612312,,,Normalizer
CBLOF,,,91.02232425978796,59.10110931935895,,,Normalizer
IForest,,,91.01119444915456,65.22686315858256,,,Normalizer
OCSVM,,,90.19007592490084,49.33602474994901,,,Normalizer
ALAD,,,90.00961810464071,49.74293316407352,,,Normalizer
KNN,,,89.68157387103692,67.43895218473831,,,Normalizer
DevNet,,,86.25509502449205,38.76616234331486,,,Normalizer
COPOD,,,84.59354588407652,42.98010476228884,,,Normalizer
ECOD,,,82.37690788120317,35.2979282877068,,,Normalizer
ourmodel,MinMaxScaler,195.0,97.19324748581352,81.63591108045559,1.0,2.0,
LUNAR,,,98.06805370713543,89.02591125482743,,,Normalizer
DeepSVDD,,,96.20049425638943,80.76226106185905,,,Normalizer
HBOS,,,95.97566943373748,80.16333672395692,,,Normalizer
PCA,,,95.81498440408714,78.08510362188615,,,Normalizer
