Model,data_ToNIoT.csv_AUCROC
ourmodel,80.2137906127443
AE1SVM,52.79498280638634
ALAD,52.413718321043945
AutoEncoder,71.73327873984753
CBLOF,76.6917266807503
COPOD,29.75367505719339
DeepSVDD,63.24218483166227
DevNet,76.29584280248241
ECOD,23.54977604775245
HBOS,66.88564214754084
IForest,75.8003897964072
KNN,79.79268939334544
LODA,62.531973867221225
LOF,70.71795525496995
MO_GAAL,77.77786714479676
OCSVM,48.30645068265287
PCA,52.09842246634588
