Model,data_ToNIoT.csv_AUCROC
ourmodel,82.59216901917117
AE1SVM,53.64368261088435
ALAD,50.74235154996656
AutoEncoder,71.03186554538243
CBLOF,76.84354397334958
COPOD,29.82631016705895
DeepSVDD,64.19117696093619
DevNet,76.38683269646941
ECOD,23.590635550001885
HBOS,82.44037657789865
IForest,79.73047192454744
KNN,86.72177747012972
LODA,66.30323202808222
LOF,80.59706240545495
MO_GAAL,62.47377566132646
OCSVM,48.7655658572448
PCA,54.42429826463368
