Dataset,Model,scaled,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_ToNIoT.csv,KNN,QuantileTransformer,0,92.22068736244613,97.89870685262869,82.07843673134735,0.5104665273507502,0.8887380699893955,0.9830158581214226,0.8109614491407339,0.048229217529296875,2.397005796432495
data_ToNIoT.csv,LUNAR,QuantileTransformer,0,94.48575378572211,98.70856809471587,89.58731893960098,0.6406359357577441,0.9382245642480745,0.9847685500340367,0.895881715435826,1.5367982387542725,0.1438922882080078
data_ToNIoT.csv,NeuTraLAD,QuantileTransformer,0,83.53246708304789,96.23401098056299,58.93686799672041,0.27765054106911985,0.7030045463530342,0.9719868816616561,0.5506270320483047,60.200034618377686,0.47347378730773926
data_ToNIoT.csv,LOF,QuantileTransformer,0,84.98958280952245,96.49319026596923,52.45968843946434,0.23673798070682184,0.6387706364863461,0.969735182849937,0.47623471125561234,0.03284192085266113,0.10189151763916016
data_ToNIoT.csv,AutoEncoder,QuantileTransformer,0,71.03186554538243,93.15560545011878,28.757857338070515,0.08159700857502304,0.33901743264659273,0.935946797339867,0.2069979873045363,3.1437251567840576,0.6469454765319824
data_ToNIoT.csv,CBLOF,QuantileTransformer,0,64.66074131789648,90.55086962612545,17.668761956818805,-0.03251034283236187,0.14925162383507484,0.848314606741573,0.08182381173556279,0.36024999618530273,0.012663841247558594
data_ToNIoT.csv,HBOS,QuantileTransformer,0,82.44037657789865,96.8782853575566,67.00601257174091,0.34003219381265354,0.7745880595621528,0.97554379776602,0.6422820870103731,1.2240750789642334,0.9213340282440186
data_ToNIoT.csv,DASVDD,QuantileTransformer,0,59.60014236842006,90.5009093906426,52.82864170538398,0.08788021712738198,0.6588258549120379,0.9109046187482919,0.5160241523455643,14.262759923934937,11.113393783569336
data_ToNIoT.csv,AE1SVM,QuantileTransformer,0,52.247574519026706,88.85540644759335,17.245148947799947,-0.032664778130890054,0.13977272727272727,0.846815834767642,0.07617278216442173,29.774177074432373,0.8964235782623291
data_ToNIoT.csv,DevNet,QuantileTransformer,0,52.05217841345815,88.5358683325676,25.990707843673132,0.06413967781339476,0.29433224755700327,0.9288651315789473,0.17487227124941943,1.2579329013824463,0.17969560623168945
data_ToNIoT.csv,DeepSVDD,QuantileTransformer,0,43.8285389654922,85.86814888247402,15.455042361300903,-0.06636479511976262,0.10501952842470708,0.7995594713656388,0.0562006502554575,4.460141897201538,0.004986763000488281
data_ToNIoT.csv,IForest,QuantileTransformer,0,79.59121708147083,94.29151956296818,30.568461328231756,0.10010909613545013,0.3655094905094905,0.9448030987734022,0.22658306239355938,0.13012433052062988,0.10421180725097656
data_ToNIoT.csv,OCSVM,QuantileTransformer,0,30.26246102171105,83.77876474773336,18.44083082809511,-0.02319342080486545,0.1642512077294686,0.8593406593406593,0.09080352995819786,0.6793246269226074,2.4486756324768066
data_ToNIoT.csv,LODA,QuantileTransformer,0,45.61397935684944,83.89142173664538,12.011478546050833,-0.15765100721592198,0.029247700889491933,0.5574712643678161,0.015017804613717293,0.02109980583190918,0.061647653579711914
data_ToNIoT.csv,MO_GAAL,QuantileTransformer,0,49.308792669297034,87.08456073500858,22.0552063405302,0.03771874427065556,0.22594653277242502,0.9148351648351648,0.12888992104040872,7.002654552459717,0.002862215042114258
