Dataset,Model,scaled,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_ToNIoT.csv,AE1SVM,QuantileTransformer,0,52.24757451902671,88.85540644759335,17.245148947799947,-0.03266477813089,0.1397727272727272,0.846815834767642,0.0761727821644217,25.109400272369385,1.0574936866760254
data_ToNIoT.csv,AE1SVM,QuantileTransformer,1,54.17530673013857,88.8671651150536,15.96064498496857,-0.0560218531424155,0.1149805727442797,0.8153061224489796,0.0618516798265985,24.065208911895752,1.047213792800903
data_ToNIoT.csv,AE1SVM,QuantileTransformer,3,50.12304036151016,87.73839446422271,13.883574747198688,-0.1053073250344417,0.0733715630054403,0.72953216374269,0.0386282706301285,26.025595903396606,1.0696125030517578
data_ToNIoT.csv,AE1SVM,QuantileTransformer,5,50.003688079244725,88.1032750988084,14.976769609182837,-0.0794648846991842,0.0960337062327473,0.7794811320754716,0.0511689115962223,28.343014240264893,1.1268155574798584
data_ToNIoT.csv,AE1SVM,MinMaxScaler,0,50.0785896568685,87.10337722719439,13.29598250888221,-0.1135630991411377,0.0590241732166691,0.7007042253521126,0.0308097228673169,33.567442655563354,1.0582997798919678
data_ToNIoT.csv,AE1SVM,MinMaxScaler,1,67.0507631102318,91.0276942961158,16.172451489478,-0.0455890927458734,0.1177824117350974,0.8281092012133469,0.0633999071063632,35.2901554107666,1.1111369132995603
data_ToNIoT.csv,AE1SVM,MinMaxScaler,3,58.15389036712452,88.99231442967933,13.289150040994809,-0.1176510552297541,0.059716974142402,0.696027633851468,0.031196779687258,30.314515352249146,1.984302043914795
data_ToNIoT.csv,AE1SVM,MinMaxScaler,5,49.671310357207936,87.1674781461439,13.794752664662475,-0.102783221835028,0.0704339497531864,0.7297709923664122,0.0370026319863756,28.22251319885254,1.0876238346099854
data_ToNIoT.csv,AE1SVM,Normalizer,0,40.79436270441241,87.52770847838867,28.019950806231208,0.0825021333392753,0.3262774189422524,0.938212578153733,0.1974763895339835,24.835529804229736,1.1233255863189695
data_ToNIoT.csv,AE1SVM,Normalizer,1,41.54941413385516,87.16434977120987,27.42552610002733,0.0819317614529884,0.316121555498326,0.9391736801836268,0.1900448985911131,25.637314796447757,1.0368921756744385
