Dataset,Model,Parameters,Scaled,Noise,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_ToNIoT.csv,CBLOF,{'n_clusters': 10},QuantileTransformer,0,71.36177178120575,44.62305399780715,28.511888494124076,0.08843354241955344,0.22913136373683046,0.13116828342471532,0.9051222351571595,0.8784289360046387,0.012222528457641602
data_ToNIoT.csv,CBLOF,{'n_clusters': 50},QuantileTransformer,0,85.28713442956476,66.8922511078893,41.52773981962285,0.17316259009832236,0.26553381393752146,0.1557278035031206,0.90046565774156,0.015505075454711914,0.01090097427368164
data_ToNIoT.csv,CBLOF,{'n_clusters': 100},QuantileTransformer,0,87.57932637153742,69.47554464667823,62.086635692812244,0.30570765234786523,0.354992444496106,0.22178649237472767,0.8888242142025611,0.031017780303955078,0.014871358871459961
data_ToNIoT.csv,CBLOF,{'n_clusters': 150},QuantileTransformer,0,88.8667070936025,70.9676378387707,79.19513528286417,0.4708857599245967,0.5015550826649207,0.34889546800273286,0.8917345750873108,0.04577779769897461,0.019863128662109375
data_ToNIoT.csv,KNN,{'n_neighbors': 5},QuantileTransformer,0,92.22069186834625,81.7885150554886,82.07843673134735,0.5104665273507502,0.5395822362647007,0.3862779592862528,0.8946449359720605,0.02504730224609375,2.319542646408081
data_ToNIoT.csv,KNN,{'n_neighbors': 20},QuantileTransformer,0,88.17004987670958,74.32776498428387,62.687892866903525,0.30810774093394233,0.35760498764851195,0.22408963585434175,0.8847497089639115,0.0341494083404541,2.4668755531311035
data_ToNIoT.csv,KNN,{'n_neighbors': 50},QuantileTransformer,0,82.5837565725312,63.45489962995434,44.05575293796119,0.18965373099390903,0.27437079049982277,0.1618231235626176,0.9010477299185099,0.06388974189758301,2.6547985076904297
data_ToNIoT.csv,LOF,{'n_neighbors': 5},QuantileTransformer,0,83.5624403306177,39.36081392861926,57.980322492484284,0.281506282569898,0.33455961913005844,0.20547581073896865,0.89988358556461,0.02562737464904785,0.12900686264038086
data_ToNIoT.csv,LOF,{'n_neighbors': 20},QuantileTransformer,0,84.98958956837261,62.00321335575618,52.45968843946434,0.23673798070682184,0.3048951048951049,0.18403280270139893,0.8882421420256111,0.029620647430419922,0.11078429222106934
data_ToNIoT.csv,LOF,{'n_neighbors': 50},QuantileTransformer,0,80.54266717925786,50.57077822983758,48.531019404208806,0.21593713438544554,0.2903438530381536,0.1732044509385186,0.8969732246798603,0.04396820068359375,0.14558148384094238
data_ToNIoT.csv,HBOS,{'n_bins': 10},QuantileTransformer,0,82.44037657789863,42.69028624899512,67.00601257174091,0.34003219381265354,0.38476239011339025,0.2462893492089382,0.8789289871944121,1.5398378372192383,0.8825836181640625
data_ToNIoT.csv,HBOS,{'n_bins': 50},QuantileTransformer,0,87.92613198574477,59.24068797408161,76.89259360481006,0.4378183499229328,0.4722222222222222,0.3226012793176972,0.880675203725262,0.005681037902832031,0.01348733901977539
data_ToNIoT.csv,HBOS,{'n_bins': 100},QuantileTransformer,0,88.64659387294913,61.05772195676149,78.61437551243509,0.4578465584537039,0.49138771530711733,0.3408476104598738,0.880093131548312,0.005857706069946289,0.014677762985229492
data_ToNIoT.csv,IForest,{'n_estimators': 50},QuantileTransformer,0,79.8055131850748,62.640277929115676,23.31238043181197,0.04365378869174846,0.2165293871282982,0.12301713197969544,0.9027939464493597,0.0653684139251709,0.05215883255004883
data_ToNIoT.csv,IForest,{'n_estimators': 100},QuantileTransformer,0,80.0908267804028,64.57754837528846,29.11997813610276,0.08777971969265998,0.22927191679049033,0.13140861863396355,0.8981373690337602,0.12706947326660156,0.10183572769165039
