Dataset,Model,Parameters,Scaled,Noise,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_ToNIoT.csv,CBLOF,{'n_clusters': 10},QuantileTransformer,0,71.36177178120575,92.80042631908731,28.511888494124076,0.08843354241955344,0.33352442830753554,0.9413879899316793,0.20266295092119524,1.0149917602539062,0.01122903823852539
data_ToNIoT.csv,CBLOF,{'n_clusters': 50},QuantileTransformer,0,85.28713442956477,95.72136905342909,41.52773981962285,0.17316259009832236,0.5143019296254256,0.9636324968098682,0.35075089023068584,0.01571512222290039,0.010763883590698242
data_ToNIoT.csv,CBLOF,{'n_clusters': 100},QuantileTransformer,0,87.57932637153742,96.27865097494723,62.086635692812244,0.30570765234786523,0.7315303110939088,0.9753580183202167,0.5852299117510451,0.029222965240478516,0.014789819717407227
data_ToNIoT.csv,CBLOF,{'n_clusters': 150},QuantileTransformer,0,88.8667070936025,96.78020199034401,79.19513528286417,0.4708857599245967,0.8685403445149592,0.9818448023426062,0.7786809103576405,0.04482722282409668,0.019896507263183594
data_ToNIoT.csv,KNN,{'n_neighbors': 5},QuantileTransformer,0,92.22068736244613,97.89870685262869,82.07843673134735,0.5104665273507502,0.8887380699893955,0.9830158581214226,0.8109614491407339,0.028491497039794922,2.379406213760376
data_ToNIoT.csv,KNN,{'n_neighbors': 20},QuantileTransformer,0,88.17004987670954,96.58129036871095,62.687892866903525,0.30810774093394233,0.7370853593953107,0.9747867057175602,0.5925839913299272,0.044640302658081055,2.4855635166168213
data_ToNIoT.csv,KNN,{'n_neighbors': 50},QuantileTransformer,0,82.58375657253121,95.30398174354093,44.05575293796119,0.18965373099390903,0.5448076495441405,0.9664694280078896,0.379315683542344,0.0774850845336914,2.7370359897613525
data_ToNIoT.csv,LOF,{'n_neighbors': 5},QuantileTransformer,0,83.56244483651783,96.71663548059368,57.980322492484284,0.281506282569898,0.6929605591612581,0.9758155230596175,0.5372348660783403,0.021197795867919922,0.11188173294067383
data_ToNIoT.csv,LOF,{'n_neighbors': 20},QuantileTransformer,0,84.98958280952245,96.49319026596923,52.45968843946434,0.23673798070682184,0.6387706364863461,0.969735182849937,0.47623471125561234,0.03459286689758301,0.1437220573425293
data_ToNIoT.csv,LOF,{'n_neighbors': 50},QuantileTransformer,0,80.54264239680722,94.71271211767991,48.531019404208806,0.21593713438544554,0.5962373371924746,0.9691583899634083,0.43056200650255455,0.05108475685119629,0.20391368865966797
data_ToNIoT.csv,HBOS,{'n_bins': 10},QuantileTransformer,0,82.44037657789865,96.8782853575566,67.00601257174091,0.34003219381265354,0.7745880595621528,0.97554379776602,0.6422820870103731,1.5626325607299805,0.9036097526550293
data_ToNIoT.csv,HBOS,{'n_bins': 50},QuantileTransformer,0,87.92613198574477,97.72316682700556,76.89259360481006,0.4378183499229328,0.8520818754373688,0.9793886989744621,0.7540640966093822,0.0058438777923583984,0.013742208480834961
data_ToNIoT.csv,HBOS,{'n_bins': 100},QuantileTransformer,0,88.64659387294913,97.91387021437205,78.61437551243509,0.4578465584537039,0.8646076650229259,0.9798039215686275,0.7736491716984053,0.005972623825073242,0.014731168746948242
data_ToNIoT.csv,IForest,{'n_estimators': 50},QuantileTransformer,0,79.8055131850748,93.87138183176984,23.31238043181197,0.04365378869174846,0.2490298407600696,0.9176528599605522,0.1440625483821025,0.06710457801818848,0.05235600471496582
data_ToNIoT.csv,IForest,{'n_estimators': 100},QuantileTransformer,0,80.0908267804028,94.12984901385198,29.11997813610276,0.08777971969265998,0.34391601315456616,0.9395300621976503,0.2104814986840068,0.1307055950164795,0.10347318649291992
data_ToNIoT.csv,IForest,{'n_estimators': 200},QuantileTransformer,0,80.00802410692609,93.95775555050264,27.57584039355015,0.07907599410834867,0.31929103519136914,0.9366993217784476,0.1924446508747484,0.26119542121887207,0.2046680450439453
data_ToNIoT.csv,PCA,{'n_components': 0.5},QuantileTransformer,0,36.5109954776984,84.8959269026726,17.784913910904617,-0.033575197453414064,0.15206821224719894,0.8476040848389631,0.08352686174330391,0.010783195495605469,0.005426168441772461
data_ToNIoT.csv,PCA,{'n_components': 0.7},QuantileTransformer,0,39.54425478810464,86.21279535700879,18.311013938234492,-0.026067552992064685,0.16204093075413512,0.8562962962962963,0.08948753677039789,0.0024399757385253906,0.0043942928314208984
data_ToNIoT.csv,PCA,{'n_components': 0.9},QuantileTransformer,0,41.23434582711294,86.81520937488202,19.45886854331785,-0.007310770218156727,0.18263763694355845,0.8756648936170213,0.10195076637250348,0.002588987350463867,0.006167173385620117
data_ToNIoT.csv,OCSVM,{'nu': 0.1},QuantileTransformer,0,25.46670761628692,81.37149729325581,17.402295709210165,-0.037078642187636096,0.14426275925532667,0.8428453267162944,0.0788821799040099,0.15718507766723633,0.553480863571167
data_ToNIoT.csv,OCSVM,{'nu': 0.5},QuantileTransformer,0,30.26246102171105,83.77876474773336,18.44083082809511,-0.02319342080486545,0.1642512077294686,0.8593406593406593,0.09080352995819786,0.7168965339660645,2.7486727237701416
data_ToNIoT.csv,AutoEncoder,"{'hidden_neurons': [64, 32, 32, 64], 'epochs': 50}",QuantileTransformer,0,71.03186554538243,93.15560545011878,28.757857338070515,0.08159700857502304,0.33901743264659273,0.935946797339867,0.2069979873045363,4.132795095443726,0.6392955780029297
data_ToNIoT.csv,AutoEncoder,"{'hidden_neurons': [128, 64, 64, 128], 'epochs': 50}",QuantileTransformer,0,71.03186554538243,93.15560545011878,28.757857338070515,0.08159700857502304,0.33901743264659273,0.935946797339867,0.2069979873045363,2.2159571647644043,0.6415715217590332
data_ToNIoT.csv,DIF,"{'n_ensemble': 50, 'n_estimators': 6}",QuantileTransformer,0,46.43284334373115,88.5167003163932,45.70921016671222,-0.13330622308211565,0.6073334651116822,0.8397103033615742,0.47569283170769466,0.4602985382080078,24.21176552772522
data_ToNIoT.csv,DIF,"{'n_ensemble': 100, 'n_estimators': 10}",QuantileTransformer,0,41.57662301170399,87.2795792219619,45.627220552063406,-0.13585347575247456,0.6067404625420043,0.8388904072150861,0.4752283635237653,1.1973412036895752,79.36598992347717
data_ToNIoT.csv,NeuTraLAD,"{'latent_dim': 32, 'enc_hdim': 32}",QuantileTransformer,0,87.48262975505386,97.4605482199174,59.23066411587865,0.2869406366895996,0.7051148999258711,0.974989749897499,0.5522526706920576,14.648217916488647,0.4595494270324707
data_ToNIoT.csv,NeuTraLAD,"{'latent_dim': 64, 'enc_hdim': 64}",QuantileTransformer,0,90.0583441970585,97.70916853964515,59.48346542771249,0.2946322255381792,0.7069578968175528,0.9774528559715769,0.553723486607834,14.889013051986694,0.4610564708709717
data_ToNIoT.csv,DASVDD,{'code_size': 32},QuantileTransformer,0,63.1983063763353,91.1019659679057,53.32057939327686,0.10316373314953536,0.6623838703301048,0.9158239956272205,0.5188109614491407,7.542818069458008,11.435638189315796
data_ToNIoT.csv,DASVDD,{'code_size': 64},QuantileTransformer,0,66.76239000872522,91.62033817865162,53.83984695271932,0.11929633339514172,0.6661395532713975,0.9210166712216452,0.5217525932806936,7.043447971343994,11.504853010177612
data_ToNIoT.csv,LODA,{'n_bins': 10},QuantileTransformer,0,44.83873698898812,86.36526851504289,19.595517901065865,0.005059484861171792,0.18289126510206916,0.887466307277628,0.10195076637250348,0.021547555923461914,0.06304645538330078
data_ToNIoT.csv,LODA,{'n_bins': 50},QuantileTransformer,0,43.41687317206897,83.02240857798589,13.589778628040447,-0.10752802804917266,0.06588374326021124,0.7181964573268921,0.03452546833875213,0.02572035789489746,0.09459114074707031
data_ToNIoT.csv,ALAD,{},QuantileTransformer,0,49.805712345859924,87.74549922790278,17.853238589778627,-0.017975217832166643,0.1502579687610432,0.8635255889520714,0.08228827991949218,5.408581256866455,0.013293027877807617
data_ToNIoT.csv,COPOD,{},QuantileTransformer,0,22.39722312190028,79.55632579494127,20.319759497130363,-0.19824184984822485,0.24702995867768596,0.7443579766536965,0.14808793930949063,0.07654166221618652,0.09326767921447754
data_ToNIoT.csv,ECOD,{},QuantileTransformer,0,19.598320182413254,78.75328046475127,20.08062312107133,-0.23845410156756855,0.2530174340634779,0.7227289310470632,0.15335191206069052,0.008646011352539062,0.09213948249816895
data_ToNIoT.csv,VAE,"{'encoder_neurons': [64, 32], 'decoder_neurons': [32, 64], 'epochs': 50}",QuantileTransformer,0,57.459278828884116,90.54968838712419,24.569554523093743,0.037617288084857044,0.27387529597474347,0.910761154855643,0.1611704598235021,14.346437931060791,0.749396800994873
data_ToNIoT.csv,SO_GAAL,{},QuantileTransformer,0,40.02339643576091,81.95912580742272,11.567368133369774,-0.1824110866086433,0.01850307120649124,0.45353159851301117,0.009444186406564484,1.5075533390045166,0.0042879581451416016
data_ToNIoT.csv,MO_GAAL,{},QuantileTransformer,0,48.113007884784494,85.27942492422228,15.024596884394642,-0.06540007454182362,0.09423931250455174,0.7958179581795818,0.05008515250038706,7.16262674331665,0.0028841495513916016
data_ToNIoT.csv,SUOD,{},QuantileTransformer,0,39.04267601082209,84.47962740766104,22.444657010112053,-0.16619505123787062,0.28053495594853267,0.7740468695348024,0.17131134850596066,0.024611234664916992,0.19972610473632812
data_ToNIoT.csv,LUNAR,{'n_endpoints': 10},QuantileTransformer,0,94.70943567926714,98.83820127854747,90.31839300355288,0.6525120221775991,0.9428928384314674,0.9834384195039932,0.9055581359343552,1.124565601348877,0.23003864288330078
data_ToNIoT.csv,AE1SVM,{},QuantileTransformer,0,53.298402243866164,88.87052171207576,15.482372232850505,-0.06581642610380689,0.10556760665220535,0.8004385964912281,0.05651029571141043,27.05817937850952,0.8792002201080322
data_ToNIoT.csv,DevNet,{},QuantileTransformer,0,52.05524693143696,88.53151229161324,25.997540311560535,0.06419605096928739,0.29444335873884436,0.9288943690916563,0.17494968261340765,1.357062578201294,0.18676543235778809
data_ToNIoT.csv,CBLOF,{'n_clusters': 10},QuantileTransformer,1,69.56585967797955,91.70517565634823,17.313473626673957,-0.02931674202407831,0.1406050276949297,0.8505154639175257,0.07663725034835114,0.005280494689941406,0.007923364639282227
data_ToNIoT.csv,CBLOF,{'n_clusters': 50},QuantileTransformer,1,83.76138257957734,95.55259742847247,43.11970483738726,0.18115416575350912,0.5340050377833753,0.9642207398423287,0.36925220622387367,0.019587039947509766,0.010331153869628906
data_ToNIoT.csv,CBLOF,{'n_clusters': 100},QuantileTransformer,1,86.5045790759336,96.12096539004628,63.64443837113966,0.3162418971574242,0.7454919404983976,0.9754662661159094,0.6032667595603034,0.029364585876464844,0.015279293060302734
data_ToNIoT.csv,CBLOF,{'n_clusters': 150},QuantileTransformer,1,89.78555024520207,96.86832273078149,74.56272205520634,0.41923306479277606,0.8343640165502514,0.9809603515012031,0.7258863601176653,0.04336953163146973,0.017583131790161133
data_ToNIoT.csv,KNN,{'n_neighbors': 5},QuantileTransformer,1,89.65987167917415,97.39316243246878,75.0409948073244,0.42640423074837497,0.8378822171925621,0.9817992719708788,0.730763276048924,0.025608539581298828,2.2485058307647705
data_ToNIoT.csv,KNN,{'n_neighbors': 20},QuantileTransformer,1,88.05707344310787,96.51900511896156,60.11888494124078,0.29152385820117277,0.7135495902242724,0.9746614827724897,0.5627806161944573,0.04910731315612793,2.463324785232544
data_ToNIoT.csv,KNN,{'n_neighbors': 50},QuantileTransformer,1,81.9349520148673,95.11462154270312,38.200327958458594,0.15253151580774368,0.47194815809445967,0.9598670149608169,0.3128967332404397,0.08372735977172852,2.6453447341918945
data_ToNIoT.csv,LOF,{'n_neighbors': 5},QuantileTransformer,1,75.23195247320746,94.62650246555101,41.03580213172998,0.17001715461557312,0.508206063369045,0.9630669546436285,0.34517727202353304,0.021603107452392578,0.13368749618530273
data_ToNIoT.csv,LOF,{'n_neighbors': 20},QuantileTransformer,1,83.23959484027574,96.02374028392309,46.3104673408035,0.1973807395666668,0.5719110917411201,0.9652445752114748,0.4063322495742375,0.03187441825866699,0.1575179100036621
data_ToNIoT.csv,LOF,{'n_neighbors': 50},QuantileTransformer,1,79.08237929910185,94.4202345085215,47.23968297349003,0.20967855301347535,0.5815994798439532,0.9691224268689057,0.41546679052484903,0.05459237098693848,0.20174694061279297
data_ToNIoT.csv,HBOS,{'n_bins': 10},QuantileTransformer,1,82.09200741635114,96.79511479634313,66.1177917463788,0.3363169954600713,0.7668437632234708,0.9765297569153395,0.631289673324044,0.0055048465728759766,0.010688304901123047
data_ToNIoT.csv,HBOS,{'n_bins': 50},QuantileTransformer,1,87.12305441991852,97.58173999672333,74.72670128450396,0.41612001303327995,0.8358407668752497,0.9794071762870514,0.7289828146771946,0.0057446956634521484,0.013384342193603516
data_ToNIoT.csv,HBOS,{'n_bins': 100},QuantileTransformer,1,87.544657976047,97.71744787170911,75.45094288056846,0.4235750136067607,0.8413055960425776,0.9795330659261545,0.7372658306239356,0.0058956146240234375,0.01449441909790039
data_ToNIoT.csv,IForest,{'n_estimators': 50},QuantileTransformer,1,78.53875822078946,93.68263443829565,30.00819896146488,0.0981795884182273,0.3566942979150967,0.9447771124417831,0.21984827372658305,0.0666654109954834,0.05315089225769043
data_ToNIoT.csv,IForest,{'n_estimators': 100},QuantileTransformer,1,80.27147732784262,94.2522469126082,29.236130090188578,0.08993820170020284,0.3454465019275738,0.9407917383820998,0.2115652577798421,0.12948155403137207,0.10256290435791016
data_ToNIoT.csv,IForest,{'n_estimators': 200},QuantileTransformer,1,79.31529378198401,93.72155325093294,27.917463787920198,0.0843720019863612,0.3241511851377322,0.9398216939078752,0.19585075089023068,0.2563173770904541,0.2022404670715332
data_ToNIoT.csv,PCA,{'n_components': 0.5},QuantileTransformer,1,35.78077831674351,84.69824524333926,17.709756764143208,-0.03468377719519153,0.15063469675599436,0.8462757527733756,0.08267533673943335,0.002455472946166992,0.004610776901245117
data_ToNIoT.csv,PCA,{'n_components': 0.7},QuantileTransformer,1,38.68357830109903,85.9843629581894,17.969390543864446,-0.02979296600174156,0.1553398058252427,0.8518518518518519,0.08546214584300975,0.002385377883911133,0.00434565544128418
data_ToNIoT.csv,PCA,{'n_components': 0.9},QuantileTransformer,1,40.576619587219895,86.61523494933479,18.611642525280132,-0.01653385415201388,0.1665267282395746,0.86608442503639,0.09211952314599783,0.002559661865234375,0.005709648132324219
data_ToNIoT.csv,OCSVM,{'nu': 0.1},QuantileTransformer,1,25.227385743440177,81.25128358982778,17.190489204700736,-0.0414893652904095,0.14042553191489363,0.8375634517766497,0.07663725034835114,0.15233349800109863,0.5182492733001709
data_ToNIoT.csv,OCSVM,{'nu': 0.5},QuantileTransformer,1,30.189762829243872,83.74412058903884,18.181197048373875,-0.02514118123246457,0.15899992977034905,0.8569265707797123,0.0876296640346803,0.6825969219207764,2.5679380893707275
data_ToNIoT.csv,AutoEncoder,"{'hidden_neurons': [64, 32, 32, 64], 'epochs': 50}",QuantileTransformer,1,65.70165380953128,92.2357331508184,26.36649357748019,0.06269395658863026,0.3013290113452188,0.9270043877143996,0.1799040099086546,2.3219993114471436,0.6425774097442627
data_ToNIoT.csv,AutoEncoder,"{'hidden_neurons': [128, 64, 64, 128], 'epochs': 50}",QuantileTransformer,1,65.70165380953128,92.2357331508184,26.36649357748019,0.06269395658863026,0.3013290113452188,0.9270043877143996,0.1799040099086546,2.167106866836548,0.6392321586608887
data_ToNIoT.csv,DIF,"{'n_ensemble': 50, 'n_estimators': 6}",QuantileTransformer,1,43.83120420541064,88.22035816134863,45.72287510248702,-0.1328816809703892,0.6074322988732951,0.8398469527193222,0.4757702430716829,0.4239997863769531,23.664242267608643
data_ToNIoT.csv,DIF,"{'n_ensemble': 100, 'n_estimators': 10}",QuantileTransformer,1,41.56872416880111,87.28595237351156,45.72287510248702,-0.1328816809703892,0.6074322988732951,0.8398469527193222,0.4757702430716829,1.1900157928466797,78.37449741363525
data_ToNIoT.csv,NeuTraLAD,"{'latent_dim': 32, 'enc_hdim': 32}",QuantileTransformer,1,85.42597698278078,96.48111085674344,58.704564088548786,0.27043332516976964,0.7013243724056137,0.9696638425799399,0.5493110388605047,13.135916709899902,0.47960829734802246
data_ToNIoT.csv,NeuTraLAD,"{'latent_dim': 64, 'enc_hdim': 64}",QuantileTransformer,1,87.9779746195263,96.91439870167862,59.5107952992621,0.29548130976163217,0.7071555643407789,0.977726154687073,0.5538783093358105,8.619633436203003,0.4626047611236572
data_ToNIoT.csv,DASVDD,{'code_size': 32},QuantileTransformer,1,64.42823687192485,91.26869215428195,53.7168625307461,0.11547545438960337,0.6652500494168808,0.919786827001913,0.5210558910047995,4.301608085632324,11.340465307235718
data_ToNIoT.csv,DASVDD,{'code_size': 64},QuantileTransformer,1,60.23066648931443,90.38915903047655,53.29324952172725,0.1023146489260824,0.6621862028068788,0.9155506969117245,0.5186561387211642,6.022179126739502,11.094394207000732
data_ToNIoT.csv,LODA,{'n_bins': 10},QuantileTransformer,1,43.24796274738068,85.33164842897322,19.98496857064772,0.004286344890252131,0.19117342357897646,0.8866111467008329,0.10713732775971513,0.021326780319213867,0.06237363815307617
data_ToNIoT.csv,LODA,{'n_bins': 50},QuantileTransformer,1,43.3748286180891,82.6607542277609,13.521453949166439,-0.11279354280513748,0.06514513627298914,0.7101449275362319,0.03413841151881096,0.025238990783691406,0.09272360801696777
data_ToNIoT.csv,ALAD,{},QuantileTransformer,1,49.86188514965266,87.7759278251761,17.361300901885762,-0.019846898713591868,0.13969699125115584,0.8606485539000877,0.07601795943644526,5.524044036865234,0.01314091682434082
data_ToNIoT.csv,COPOD,{},QuantileTransformer,1,22.38429569446825,79.54911830533024,20.333424432905165,-0.19584968865043964,0.24667269673084377,0.745703125,0.1477782938535377,0.008664369583129883,0.0999910831451416
data_ToNIoT.csv,ECOD,{},QuantileTransformer,1,19.592904090474146,78.75085381489106,20.066958185296528,-0.23794974717611225,0.2526033348239954,0.7228519195612432,0.15304226660473758,0.009119272232055664,0.09922623634338379
data_ToNIoT.csv,VAE,"{'encoder_neurons': [64, 32], 'decoder_neurons': [32, 64], 'epochs': 50}",QuantileTransformer,1,57.05429303238246,90.44618624364323,24.391910358021317,0.03831754863289089,0.27043776371308015,0.9115555555555556,0.15877070753986686,16.92411756515503,0.7317020893096924
data_ToNIoT.csv,SO_GAAL,{},QuantileTransformer,1,40.61585020657749,82.21912079765104,11.881661656190216,-0.16461919986041115,0.026274065685164213,0.5321100917431193,0.013469577333952624,1.6379423141479492,0.0036096572875976562
data_ToNIoT.csv,MO_GAAL,{},QuantileTransformer,1,50.24933848880401,88.27718540814953,20.347089368679967,0.010012010407573132,0.19743907476249484,0.8917910447761194,0.1110078959591268,6.996649742126465,0.0027577877044677734
data_ToNIoT.csv,SUOD,{},QuantileTransformer,1,38.505383469222274,84.34425762086781,22.328505056026238,-0.1672760721809301,0.27858865338240896,0.772887323943662,0.16991794395417248,0.02550792694091797,0.20858430862426758
data_ToNIoT.csv,LUNAR,{'n_endpoints': 10},QuantileTransformer,1,90.69598088128556,97.87427849511666,75.08882208253621,0.41967246494830296,0.8385868602797946,0.9794208893485005,0.7331630283325592,1.1608798503875732,0.23042702674865723
data_ToNIoT.csv,AE1SVM,{},QuantileTransformer,1,53.15913613603925,88.8956496666923,16.281770975676416,-0.050824835240463745,0.12145981214598121,0.8231292517006803,0.06556742529803375,28.26314687728882,0.8793175220489502
data_ToNIoT.csv,DevNet,{},QuantileTransformer,1,52.05135608668703,88.54110146286261,25.765236403388904,0.06319100661811632,0.29047214784823355,0.9286012526096034,0.17216287350983125,1.3690929412841797,0.1872541904449463
data_ToNIoT.csv,CBLOF,{'n_clusters': 10},QuantileTransformer,3,66.15399661624926,92.03093669825103,29.304454769062588,0.09346214711397233,0.3459131424236677,0.9431230610134437,0.21179749187180677,0.005890607833862305,0.009066343307495117
