Dataset,Model,scaled,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_N_BaIoT.csv,DASVDD,StandardScaler,0,55.911171403693125,89.47896238856681,52.679793619037596,0.09206401825140767,0.6635388070875967,0.9332397332397332,0.5147725072604066,24.66658854484558,22.391306161880493
data_N_BaIoT.csv,DASVDD,StandardScaler,1,53.80517854536239,89.15780184288013,52.39198343336492,0.08218159125009801,0.6614923883204392,0.9303615303615304,0.5131848983543078,23.48171305656433,21.997212409973145
data_N_BaIoT.csv,DASVDD,StandardScaler,3,54.652097438686866,88.69710746515915,52.66575409778527,0.09158194864158768,0.6634389817818817,0.9330993330993331,0.5146950629235237,24.06708073616028,21.218629837036133
data_N_BaIoT.csv,DASVDD,StandardScaler,5,53.613834242684575,88.85666941316191,52.51131936400969,0.08627918293356787,0.6623409034190167,0.9315549315549315,0.5138431752178122,25.107301235198975,21.913801908493042
data_N_BaIoT.csv,DASVDD,QuantileTransformer,0,94.61222164164799,99.37249831609499,58.94537284089313,0.3077419924856795,0.7081752844879218,0.9962786125544165,0.5493224932249322,24.302305698394775,21.50810956954956
data_N_BaIoT.csv,DASVDD,QuantileTransformer,1,69.64463898057001,95.92776175487667,54.957168936947056,0.17053834120478004,0.6798263126372529,0.9563965735149558,0.5273325590398761,23.828433513641357,21.268079042434692
data_N_BaIoT.csv,DASVDD,QuantileTransformer,3,64.4469585642137,95.61600130038144,55.18185648083135,0.17826812437553494,0.6814234378119385,0.9586434489537986,0.5285714285714286,22.559207677841187,21.82289457321167
data_N_BaIoT.csv,DASVDD,QuantileTransformer,5,35.64517768926209,89.05687344653713,44.37578991714647,-0.19348613499295864,0.6046116989419046,0.8505827833169499,0.4689895470383275,24.324137926101685,22.27408504486084
data_N_BaIoT.csv,DASVDD,MinMaxScaler,0,99.33942827429993,99.82942913987904,59.28538836825664,0.31887776967171,0.7105066134265036,0.9992979992979993,0.5512100677637948,23.67821216583252,22.514400005340576
data_N_BaIoT.csv,DASVDD,MinMaxScaler,1,98.00827748079324,99.34300088407504,59.004597943210136,0.30923637747531035,0.7085101073122037,0.9964899964899965,0.5496611810261375,23.463106393814087,21.396857261657715
data_N_BaIoT.csv,DASVDD,MinMaxScaler,3,98.90294548467708,99.75161890563133,59.18711171949037,0.31550328240297015,0.7098078362864986,0.9983151983151983,0.5506679574056147,20.195573806762695,22.104535341262817
data_N_BaIoT.csv,DASVDD,MinMaxScaler,5,94.9790535726865,99.22571387802017,58.850163209434555,0.3039336117672905,0.7074120289493386,0.994945594945595,0.5488092933204259,21.382400512695312,23.849085092544556
data_N_BaIoT.csv,DASVDD,Normalizer,0,93.66919125715599,99.15975742938001,58.878242251939206,0.3048977509869305,0.7076116795607686,0.9952263952263952,0.5489641819941917,21.902106046676636,22.412285804748535
data_N_BaIoT.csv,DASVDD,Normalizer,1,93.55642274557022,99.14578018867822,58.70274823628514,0.2988718808641807,0.7063638632393312,0.9934713934713935,0.5479961277831559,24.141238689422607,22.059328079223633
data_N_BaIoT.csv,DASVDD,Normalizer,3,92.91518813875783,99.04903707274701,58.62553086939736,0.2962204980101708,0.7058148240578986,0.9926991926991927,0.5475701839303001,24.180240154266357,22.184799194335938
data_N_BaIoT.csv,DASVDD,Normalizer,5,93.10601900233044,99.08719856300809,58.653609911902,0.29718463722981076,0.7060144746693287,0.992979992979993,0.5477250726040658,24.69080090522766,21.922178983688354
data_CICIoT2023.csv,DASVDD,StandardScaler,0,52.00168248813208,96.85275058490946,50.25623848601575,0.015069671840974028,0.6615619516419406,0.9723990085080726,0.5013124266077226,7.245755672454834,23.861010313034058
data_CICIoT2023.csv,DASVDD,StandardScaler,1,48.616242442660585,96.62115254791607,50.048568079048735,0.0029308927140011317,0.660149039447597,0.9703222348763985,0.5002417627961594,8.019705057144165,22.259260654449463
data_CICIoT2023.csv,DASVDD,StandardScaler,3,44.36168296958772,96.25586101504815,49.733712945905204,-0.015473062736570679,0.6580068822497208,0.9671735780799893,0.4986184983076604,8.02981185913086,23.531811237335205
data_CICIoT2023.csv,DASVDD,StandardScaler,5,46.120521686318305,96.38927887333952,50.055267124434764,0.003322466234226064,0.6601946172603177,0.9703892275741944,0.5002763003384679,7.47083306312561,23.024423360824585
data_CICIoT2023.csv,DASVDD,QuantileTransformer,0,88.68714751869801,99.60059797490496,52.95595377658684,0.17287380049162168,0.67992981016841,0.9993970657198366,0.5152310561580438,7.9570252895355225,24.091659545898438
data_CICIoT2023.csv,DASVDD,QuantileTransformer,1,88.50096103298915,99.59187723525955,52.95595377658684,0.17287380049162168,0.67992981016841,0.9993970657198366,0.5152310561580438,7.931494235992432,22.007286548614502
data_CICIoT2023.csv,DASVDD,QuantileTransformer,3,85.92591701008074,99.48286571890306,52.788477641936026,0.16308446248599837,0.6787903648503908,0.997722248274938,0.5143676176003316,8.097989082336426,23.230947971343994
data_CICIoT2023.csv,DASVDD,QuantileTransformer,5,87.12225377664767,99.53420453924274,52.89566236811254,0.16934963880959727,0.6795196098539231,0.9987941314396731,0.5149202182772674,8.490757942199707,22.707793712615967
data_CICIoT2023.csv,DASVDD,MinMaxScaler,0,79.55439018928335,99.12073195786942,52.29274828336962,0.1341080219893534,0.675417606709054,0.9927647886380384,0.5118118394695034,7.811770677566528,23.271058559417725
data_CICIoT2023.csv,DASVDD,MinMaxScaler,1,79.50835674360273,99.12459361556533,52.299447328755654,0.13449959550957832,0.6754631845217748,0.9928317813358344,0.5118463770118118,8.198811769485474,22.809244632720947
