Dataset,Model,outlier_mode,scaler,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
data_ToNIoT.csv,DASVDD,local,QuantileTransformer,70.09624143696504,95.2736967373468,54.67142857142857,0.14972654603217758,0.6740626605033385,0.9374285714285714,0.5262229350441059,2.4209816455841064,5.962441444396973
data_ToNIoT.csv,DASVDD,cluster,QuantileTransformer,100.0,100.0,61.1,0.35335448571643746,0.7199424046076314,1.0,0.562429696287964,1.3675355911254883,5.403432130813599
data_ToNIoT.csv,DASVDD,global,QuantileTransformer,98.70807374376321,99.84281312055758,60.785714285714285,0.34770205258798675,0.7183170856849667,1.0,0.5604483586869495,1.3350937366485596,5.470905780792236
data_CICIoT2023.csv,DASVDD,local,QuantileTransformer,81.13976892274974,90.67090521981896,68.32857142857142,0.40304929959953123,0.7377882909520993,0.8911428571428571,0.6294651866801211,0.42421841621398926,5.256023645401001
data_CICIoT2023.csv,DASVDD,cluster,QuantileTransformer,100.0,100.0,79.71428571428572,0.6502032202644619,0.831353919239905,1.0,0.7113821138211383,0.4347224235534668,5.256259918212891
data_CICIoT2023.csv,DASVDD,global,QuantileTransformer,99.79435350408521,99.91392005735484,79.97142857142858,0.654208358316669,0.8331349678647941,1.0,0.7139942880456956,0.4270179271697998,5.207255125045776
data_BoTIoT.csv,DASVDD,local,QuantileTransformer,76.51847375670006,34.06972882124941,57.58571428571428,0.2594080299223089,0.28646959865416965,0.1702857142857143,0.9016641452344932,1.354426383972168,5.199624061584473
data_BoTIoT.csv,DASVDD,cluster,QuantileTransformer,100.0,100.0,58.92857142857143,0.31311214554257477,0.30303030303030304,0.17857142857142858,1.0,1.3269867897033691,5.284803867340088
data_BoTIoT.csv,DASVDD,global,QuantileTransformer,99.86033313679246,98.58224806785779,59.14285714285714,0.31722063428725766,0.30917874396135264,0.18285714285714286,1.0,1.3186986446380615,5.397242069244385
data_ToNIoT.csv,DASVDD,local,MinMaxScaler,71.43979858335156,95.00589624806217,55.68571428571428,0.18008858038198872,0.6806670784434836,0.9445714285714286,0.5320244608947537,1.2992260456085205,5.868752717971802
data_ToNIoT.csv,DASVDD,cluster,MinMaxScaler,99.95166213240057,99.99348286089584,61.07142857142858,0.3528427297931353,0.7197943444730077,1.0,0.5622489959839357,1.3477091789245605,5.259076118469238
data_ToNIoT.csv,DASVDD,global,MinMaxScaler,99.55822878918616,99.91709878969482,61.07142857142858,0.351654279645107,0.7196213602222451,0.9991428571428571,0.5623090529023959,1.2951059341430664,5.199811220169067
data_CICIoT2023.csv,DASVDD,local,MinMaxScaler,74.02712460655434,86.58219924034955,66.11428571428571,0.3521236626211883,0.7179548156956005,0.8625714285714285,0.614867617107943,0.38624072074890137,5.193135023117065
data_CICIoT2023.csv,DASVDD,cluster,MinMaxScaler,100.0,100.0,79.84285714285714,0.6522051937407545,0.8322434906669837,1.0,0.7126858073712075,0.4106178283691406,5.319246768951416
data_CICIoT2023.csv,DASVDD,global,MinMaxScaler,99.73454137401096,99.88639453750521,79.88571428571429,0.6526939236532261,0.8325005948132287,0.9997142857142857,0.7132083163473298,0.27598071098327637,5.403555870056152
data_N_BaIoT.csv,DASVDD,local,MinMaxScaler,75.5966741490558,31.32355487724642,56.54285714285714,0.21356115096358125,0.28153046764289086,0.1702857142857143,0.8119891008174387,0.978553295135498,5.267156362533569
data_N_BaIoT.csv,DASVDD,global,MinMaxScaler,99.92748546510299,99.21904985133031,59.91428571428571,0.33174375186962507,0.33094897472579876,0.1982857142857143,1.0,1.3319032192230225,5.307461261749268
data_BoTIoT.csv,DASVDD,local,MinMaxScaler,70.42799880615482,36.13238757559591,54.38571428571428,0.15079867850075776,0.23115819889236697,0.13714285714285715,0.7350689127105666,1.3376238346099854,6.036336660385132
data_BoTIoT.csv,DASVDD,cluster,MinMaxScaler,99.99999999999999,99.99999999999999,59.31428571428572,0.3204832519926954,0.3140655105973025,0.18628571428571428,1.0,1.2929556369781494,5.215721368789673
data_BoTIoT.csv,DASVDD,global,MinMaxScaler,99.96537724069412,99.6682193495545,59.31428571428572,0.3204832519926954,0.3140655105973025,0.18628571428571428,1.0,1.3318438529968262,5.421154737472534
data_ToNIoT.csv,DASVDD,local,Normalizer,70.57051586019406,95.46024342497138,55.385714285714286,0.1734190261161677,0.67946217797393,0.9457142857142857,0.5301938170751241,1.3662657737731934,5.215965270996094
data_ToNIoT.csv,DASVDD,cluster,Normalizer,100.0,100.0,60.77142857142858,0.3474438933781817,0.7182433819002668,1.0,0.5603586295228946,1.353872299194336,5.233021020889282
data_ToNIoT.csv,DASVDD,global,Normalizer,93.7087878022177,99.1253355209727,60.92857142857143,0.3451933045771676,0.7183026058296426,0.9962857142857143,0.5616041230471895,1.248861312866211,5.243523120880127
data_CICIoT2023.csv,DASVDD,local,Normalizer,52.26556033522412,73.8895679262165,46.25714285714286,-0.08126245969235679,0.5501076297536475,0.6571428571428571,0.4730563554092966,0.36440348625183105,5.402514457702637
data_CICIoT2023.csv,DASVDD,cluster,Normalizer,100.0,100.0,79.88571428571429,0.6528727814709816,0.8325404376784015,1.0,0.713121434392828,0.4242703914642334,5.335773706436157
data_CICIoT2023.csv,DASVDD,global,Normalizer,62.47870560410159,75.43250403114492,50.31428571428571,0.00686014484412141,0.5860509402523209,0.7034285714285714,0.5022439820481436,0.42275118827819824,5.256518602371216
