scaler,nCluster,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
MinMaxScaler,2,0,0.48737445833365595,0.9690829440081625,0.46873220566069335,-0.008657338323677887,0.6305811109817165,0.9682426149774694,0.46753471023002,0.011721611022949219,0.05924582481384277
Normalizer,2,0,0.6597144561732389,0.9792821210140074,0.8040529224585496,0.13757949635920935,0.8895142403867946,0.9814536967575227,0.8133245838226152,0.009970426559448242,0.06674313545227051
QuantileTransformer,2,0,0.3835718749254913,0.9631848749470286,0.26739239658348685,-0.09005382079961395,0.40764814212978007,0.9442910915934756,0.2599295434136907,0.014333009719848633,0.0668647289276123
RobustScaler,2,0,0.4964982152025445,0.9696158612170367,0.9536426059286551,-0.009327894408889289,0.9762639774987995,0.9696123185937181,0.9830075291842233,0.008075952529907227,0.0648045539855957
Normalizer,2,0,0.6597144561732389,0.9792821210140074,0.8040529224585496,0.13757949635920935,0.8895142403867946,0.9814536967575227,0.8133245838226152,0.007482767105102539,0.059650421142578125
