outlier_mode,scaler,nCluster,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
local,StandardScaler,30,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.6262187957763672,0.11301732063293457
local,StandardScaler,35,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.7725245952606201,0.09630346298217773
local,StandardScaler,40,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.8333461284637451,0.0956120491027832
local,StandardScaler,45,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.8927443027496338,0.0955970287322998
local,StandardScaler,50,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.6720297336578369,0.131791353225708
local,StandardScaler,55,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.7021002769470215,0.09497642517089844
local,StandardScaler,60,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.6845724582672119,0.11213898658752441
local,StandardScaler,65,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.5073354244232178,0.08490324020385742
local,StandardScaler,70,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.5026810169219971,0.08660197257995605
local,StandardScaler,75,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.5182886123657227,0.08531451225280762
local,StandardScaler,80,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.8240373134613037,0.0922853946685791
local,StandardScaler,85,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.848468542098999,0.09404850006103516
local,StandardScaler,90,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.7586367130279541,0.10134077072143555
local,StandardScaler,95,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.7906250953674316,0.15470552444458008
local,StandardScaler,100,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.7159295082092285,0.1081697940826416
local,StandardScaler,105,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.900202751159668,0.09445595741271973
local,StandardScaler,110,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.9308044910430908,0.09436607360839844
local,StandardScaler,115,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.0180578231811523,0.09671258926391602
local,StandardScaler,120,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.8614292144775391,0.09486508369445801
local,StandardScaler,125,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.7881772518157959,0.1095876693725586
local,StandardScaler,130,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.5846936702728271,0.08444976806640625
local,StandardScaler,135,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.6139473915100098,0.08503603935241699
local,StandardScaler,140,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.7032723426818848,0.09458804130554199
local,StandardScaler,145,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.9347105026245117,0.09664177894592285
local,StandardScaler,150,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.0258471965789795,0.09641075134277344
local,StandardScaler,155,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.8862411975860596,0.0960392951965332
local,StandardScaler,160,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.0098426342010498,0.09584689140319824
local,StandardScaler,165,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.97943115234375,0.09341645240783691
local,StandardScaler,170,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.9498872756958008,0.14405226707458496
local,StandardScaler,175,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.9180829524993896,0.16143536567687988
local,StandardScaler,180,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.69077467918396,0.08357381820678711
local,StandardScaler,185,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.6625487804412842,0.08544516563415527
local,StandardScaler,190,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,0.7189178466796875,0.10982847213745117
local,StandardScaler,195,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.7169220447540283,0.1877596378326416
local,StandardScaler,200,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.7087879180908203,0.09112954139709473
local,StandardScaler,205,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.777430534362793,0.09387922286987305
local,StandardScaler,210,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.8433966636657715,0.10202312469482422
local,StandardScaler,215,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.7398262023925781,0.09356331825256348
local,StandardScaler,220,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.2914881706237793,0.09195303916931152
local,StandardScaler,225,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.233342170715332,0.09477448463439941
local,StandardScaler,230,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.6935901641845703,0.09477066993713379
local,StandardScaler,235,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.739210844039917,0.0990605354309082
local,StandardScaler,240,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.6858177185058594,0.10814809799194336
local,StandardScaler,245,50.0,90.8,90.8,0.0,0.9517819706498952,0.908,1.0,1.7473371028900146,0.11562466621398926
