scaler,nCluster,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
StandardScaler,247,2,54.978052694208465,89.78937152418057,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,709.1754298210144,7.455918788909912
StandardScaler,250,2,54.622542409116306,89.35883030645458,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,892.1389455795288,6.095874071121216
StandardScaler,253,2,50.29699638273376,87.58743402206508,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,1236.6592700481415,7.497507810592651
StandardScaler,256,2,53.79491800244831,88.79552179326777,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,702.260623216629,6.565771818161011
StandardScaler,259,2,52.2848800551262,87.8327644285614,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,871.1858716011047,6.259203910827637
StandardScaler,262,2,53.71790874784341,88.42342707120856,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,631.2981863021851,6.20867395401001
StandardScaler,265,2,48.49674484594322,86.37844694910977,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,777.4059519767761,3.762840986251831
StandardScaler,268,2,45.2158083519423,84.45626081463799,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,563.9150841236115,5.729057312011719
StandardScaler,271,2,44.422349358987965,84.27404371466625,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,612.776585817337,4.275653839111328
StandardScaler,274,2,45.83289655990918,84.85543847051616,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,607.5514755249023,4.809275150299072
StandardScaler,277,2,45.115559072590514,84.51916308946099,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,615.8361315727234,5.136948108673096
StandardScaler,280,2,43.602162905721535,84.07900242742899,10.904897869536569,0.00405557423935772,0.0038472557606515777,0.9215686274509803,0.0019276515462226232,631.1587066650391,5.853901624679565
