outlier_mode,scaler,nCluster,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
local,StandardScaler,30,50.0,96.78571428571429,96.78571428571429,0.0,0.983666061705989,0.9678571428571429,1.0,0.9135198593139648,0.11760354042053223
local,StandardScaler,35,50.0,96.78571428571429,96.78571428571429,0.0,0.983666061705989,0.9678571428571429,1.0,0.9928028583526611,0.10596466064453125
local,StandardScaler,40,50.0,96.78571428571429,96.78571428571429,0.0,0.983666061705989,0.9678571428571429,1.0,0.8596539497375488,0.11111688613891602
local,StandardScaler,45,66.28887248872489,98.27385031835311,13.37142857142857,0.04842991165641581,0.19103521878335114,0.9930651872399445,0.10568265682656827,0.8408379554748535,0.1736762523651123
local,StandardScaler,50,67.28022960229603,98.16524950121158,22.557142857142857,0.04646642529890803,0.3367184632325951,0.9842632331902719,0.20309963099630995,0.950542688369751,0.11376309394836426
local,StandardScaler,55,70.66679786797869,98.34092890932655,24.6,0.06497582050594417,0.36440269749518306,0.9895356442119032,0.22332103321033211,0.4006919860839844,0.13708162307739258
local,StandardScaler,60,71.84275522755227,98.41701615287978,24.142857142857142,0.06720579564622182,0.35776487663280115,0.9906229068988613,0.21830258302583025,0.41413092613220215,0.09039449691772461
local,StandardScaler,65,72.28214842148421,98.55042079234208,34.77142857142857,0.0726559634516639,0.4952465177979217,0.9863496257155439,0.33062730627306275,0.42272019386291504,0.09439611434936523
local,StandardScaler,70,73.58077900779007,98.76191216167098,50.25714285714285,0.07598715599316823,0.6584265254071021,0.9815735595203275,0.49535055350553503,0.4336676597595215,0.09760618209838867
local,StandardScaler,75,84.0971873718737,99.29966970076323,90.75714285714285,0.2842855583462899,0.9506219949629856,0.984197218710493,0.9192619926199262,0.43920397758483887,0.10007596015930176
local,StandardScaler,80,90.66036900369005,99.60422306789202,96.89999999999999,0.34663239740609025,0.9841316270566727,0.9752173913043478,0.993210332103321,0.4330120086669922,0.10514163970947266
local,StandardScaler,85,92.76641246412464,99.6885758929521,96.89999999999999,0.19126093842964575,0.9842307971804374,0.9693673060406527,0.9995571955719558,0.4548964500427246,0.11858654022216797
local,QuantileTransformer,30,50.0,96.87142857142858,96.87142857142858,0.0,0.9841085552572382,0.9687142857142857,1.0,0.2647287845611572,0.08087038993835449
local,QuantileTransformer,35,50.0,96.87142857142858,96.87142857142858,0.0,0.9841085552572382,0.9687142857142857,1.0,0.39733266830444336,0.08778882026672363
local,QuantileTransformer,40,50.0,96.87142857142858,96.87142857142858,0.0,0.9841085552572382,0.9687142857142857,1.0,0.40550804138183594,0.08100175857543945
local,QuantileTransformer,45,50.0,96.87142857142858,96.87142857142858,0.0,0.9841085552572382,0.9687142857142857,1.0,0.5326051712036133,0.09182167053222656
local,QuantileTransformer,50,63.036155952806624,97.79626468595123,14.542857142857143,0.003925222287018142,0.21598951507208392,0.9705535924617197,0.1215160005898835,0.6426210403442383,0.12124204635620117
local,QuantileTransformer,55,79.63366618654459,98.61409476558003,16.085714285714285,0.0028342253664101797,0.24167312161115415,0.9699481865284975,0.1380327385341395,0.5089418888092041,0.09892654418945312
