scaler,nCluster,noise_percentage,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
MinMaxScaler,105,1,85.58177957034869,99.4964582910518,10.762016412661197,0.049330676011690035,0.14908974768444588,0.9991438356164384,0.0805549803271899,2.1270456314086914,0.847510814666748
MinMaxScaler,110,1,86.1806726089781,99.51910875061026,10.762016412661197,0.049330676011690035,0.14908974768444588,0.9991438356164384,0.0805549803271899,2.2132697105407715,0.8534367084503174
MinMaxScaler,115,1,83.33629304977094,99.41369382587192,10.762016412661197,0.049330676011690035,0.14908974768444588,0.9991438356164384,0.0805549803271899,2.8164875507354736,0.8569459915161133
MinMaxScaler,120,1,68.3794590743104,98.75484578776508,10.762016412661197,0.049330676011690035,0.14908974768444588,0.9991438356164384,0.0805549803271899,2.4186999797821045,0.8521745204925537
MinMaxScaler,125,1,86.2293600423159,99.52739708724579,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,2.6066763401031494,0.826683759689331
MinMaxScaler,130,1,87.77588533521815,99.58132308669812,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,2.8568153381347656,0.8497097492218018
MinMaxScaler,135,1,84.87400579187712,99.47185118845077,10.762016412661197,0.049330676011690035,0.14908974768444588,0.9991438356164384,0.0805549803271899,2.9673190116882324,0.8187167644500732
MinMaxScaler,140,1,67.78747269362873,98.76129840260815,10.762016412661197,0.049330676011690035,0.14908974768444588,0.9991438356164384,0.0805549803271899,2.329521417617798,0.8363242149353027
MinMaxScaler,145,1,86.15890664666517,99.52696819962559,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,3.131824493408203,0.8592226505279541
MinMaxScaler,150,1,87.4590409327804,99.56736565446755,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,2.889228582382202,0.8383495807647705
MinMaxScaler,155,1,87.38569050164901,99.5672099917069,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,3.248922348022461,0.8152511119842529
MinMaxScaler,160,1,85.33115172262548,99.49745357852827,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,2.9084861278533936,0.8488583564758301
MinMaxScaler,165,1,74.09244046503942,99.0145607324995,10.762016412661197,0.049330676011690035,0.14908974768444588,0.9991438356164384,0.0805549803271899,3.1253297328948975,0.8225152492523193
MinMaxScaler,170,1,85.39455742817526,99.4953367457748,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,2.704465389251709,0.8370294570922852
MinMaxScaler,175,1,86.41189286539492,99.53279136779686,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,2.59055757522583,0.8867709636688232
MinMaxScaler,180,1,87.88315791675765,99.58245537668766,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,2.575039863586426,0.8670270442962646
MinMaxScaler,185,1,84.13432152996067,99.44665638428789,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,2.6704933643341064,0.8397185802459717
MinMaxScaler,190,1,85.38826190955811,99.48929119035307,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,2.614820957183838,0.8449327945709229
MinMaxScaler,195,1,87.72404230745214,99.57714076360236,29.797353877072517,0.103921440953523,0.43349460767089226,0.9995014333790353,0.2767653758542141,9.531834840774536,0.8493645191192627
MinMaxScaler,30,2,91.29162495444857,99.67536688078418,16.355719309998324,0.06636411010121814,0.2429056512248363,0.999002493765586,0.1382618899703182,1.8354010581970215,0.675117015838623
MinMaxScaler,35,2,91.04803108536699,99.65828205731538,4.056271981242673,0.016604065646724696,0.022589230874223713,0.9969879518072289,0.011424035342030786,2.080373525619507,0.7576048374176025
MinMaxScaler,40,2,90.40254259033912,99.6535228577158,19.387037347178026,0.07527514779184619,0.2898285579391543,0.9991861648016277,0.16949679022571962,2.1780526638031006,0.6687612533569336
MinMaxScaler,45,2,91.81810189996168,99.70354627510245,16.811254396248536,0.06828839383784668,0.25007548765022036,0.9992760617760618,0.14292123973217366,2.231656312942505,0.7578744888305664
MinMaxScaler,50,2,91.14327675828507,99.68294375053327,20.328253223915592,0.07845932340318146,0.3038515570124093,0.9994224104736235,0.1791606267688272,2.266665458679199,0.6795146465301514
MinMaxScaler,55,2,91.86082876604623,99.68299945456846,6.149723664377826,0.029521797332646222,0.0639428055991715,0.9979144942648592,0.03302961275626424,2.2365810871124268,0.7213544845581055
MinMaxScaler,60,2,92.26022594761267,99.70445231487702,5.2118573103332775,0.02523181528732435,0.04559711308218947,0.9985228951255539,0.023331262511216953,1.9961860179901123,0.7726612091064453
MinMaxScaler,65,2,92.2799606551633,99.70795832892992,7.154580472282699,0.03461879310486484,0.08315416928521814,0.9984114376489277,0.04338372333816525,2.2037100791931152,0.8493027687072754
MinMaxScaler,70,2,92.24661634482739,99.70544642008153,6.0793836878244845,0.030235336434059852,0.06252089602139752,0.9989316239316239,0.032270311313591496,2.3265063762664795,0.7985742092132568
MinMaxScaler,75,2,92.53376368511375,99.71554307840623,7.154580472282699,0.03461879310486484,0.08315416928521814,0.9984114376489277,0.04338372333816525,2.5405194759368896,0.8120355606079102
MinMaxScaler,80,2,92.09003539671991,99.6959266920414,7.154580472282699,0.03461879310486484,0.08315416928521814,0.9984114376489277,0.04338372333816525,2.6634020805358887,0.815650224685669
MinMaxScaler,85,2,92.6520211043648,99.71923466082286,7.154580472282699,0.03461879310486484,0.08315416928521814,0.9984114376489277,0.04338372333816525,3.053056240081787,0.8564631938934326
MinMaxScaler,90,2,92.64720054701672,99.71651309502731,7.154580472282699,0.03461879310486484,0.08315416928521814,0.9984114376489277,0.04338372333816525,2.341163158416748,0.8385202884674072
MinMaxScaler,95,2,92.24353322525569,99.70558958478378,7.154580472282699,0.03461879310486484,0.08315416928521814,0.9984114376489277,0.04338372333816525,2.372799873352051,0.8427808284759521
MinMaxScaler,100,2,92.19845190572438,99.70227210462366,7.154580472282699,0.03461879310486484,0.08315416928521814,0.9984114376489277,0.04338372333816525,2.465805768966675,0.8700113296508789
