Dataset,Method,AUCROC,AUCPR,Train Time (s),Test Time (s),Peak RAM Train (MB),Peak RAM Test (MB)
ToNIoT,SVD,32.73355798099386,9.116327316151928,0.022233009338378906,0.19714117050170898,3.462048,0.470681
ToNIoT,Gram-Schmidt,50.0,11.427692938403197,0.5527677536010742,0.1777176856994629,3.462136,0.079821
N_BaIoT,SVD,60.702115999422,20.03812225425935,0.1420433521270752,0.35982823371887207,24.180632,2.432996
N_BaIoT,Gram-Schmidt,37.9480591889655,7.536011961581762,4.260648965835571,0.34735846519470215,24.180632,0.305668
CICIoT2023,SVD,53.8362443032254,3.2185965713711626,0.016248464584350586,0.4061617851257324,2.444444,0.797884
CICIoT2023,Gram-Schmidt,50.0,3.0347183841631913,0.47936487197875977,0.3809990882873535,2.398272,0.160989
BoTIoT,SVD,75.27163315724111,18.201300832199646,0.01988959312438965,0.3788719177246094,5.348336,0.6137
BoTIoT,Gram-Schmidt,50.0,9.397061130575747,1.028874397277832,0.35914015769958496,5.348336,0.154749
