Dataset,scaled,Model,AUCROC
data_ToNIoT.csv,QuantileTransformer,LUNAR,89.50033577967662
data_ToNIoT.csv,QuantileTransformer,DASVDD,55.977716341331664
data_ToNIoT.csv,QuantileTransformer,SUOD,49.48956938194009
data_ToNIoT.csv,QuantileTransformer,NeuTraLAD,78.79100752106822
data_ToNIoT.csv,QuantileTransformer,DIF,46.668042317972
data_ToNIoT.csv,MinMaxScaler,LUNAR,85.58126156551913
data_ToNIoT.csv,MinMaxScaler,DASVDD,53.1874782477672
data_ToNIoT.csv,MinMaxScaler,SUOD,28.07219704625631
data_ToNIoT.csv,MinMaxScaler,NeuTraLAD,59.03885365575391
data_ToNIoT.csv,MinMaxScaler,DIF,35.43137730406949
data_ToNIoT.csv,Normalizer,LUNAR,89.95453501724228
data_ToNIoT.csv,Normalizer,DASVDD,33.59526130706069
data_ToNIoT.csv,Normalizer,SUOD,44.51512774857654
data_ToNIoT.csv,Normalizer,NeuTraLAD,78.80396874275112
data_ToNIoT.csv,Normalizer,DIF,62.65476415127496
data_ToNIoT.csv,RobustScaler,LUNAR,85.60886921552819
data_ToNIoT.csv,RobustScaler,DASVDD,73.06762896471896
data_ToNIoT.csv,RobustScaler,SUOD,28.72171353613849
data_ToNIoT.csv,RobustScaler,NeuTraLAD,84.89384369681348
data_ToNIoT.csv,RobustScaler,DIF,77.09021722223514
data_N_BaIoT.csv,QuantileTransformer,LUNAR,45.286548387068535
data_N_BaIoT.csv,QuantileTransformer,DASVDD,87.38137978860681
data_N_BaIoT.csv,QuantileTransformer,SUOD,99.04422458478
data_N_BaIoT.csv,QuantileTransformer,NeuTraLAD,93.56170395324364
data_N_BaIoT.csv,QuantileTransformer,DIF,32.91834529928892
data_N_BaIoT.csv,MinMaxScaler,LUNAR,77.46388751108397
data_N_BaIoT.csv,MinMaxScaler,DASVDD,99.05231922695098
data_N_BaIoT.csv,MinMaxScaler,SUOD,89.26465643516399
data_N_BaIoT.csv,MinMaxScaler,NeuTraLAD,95.29882155921362
data_N_BaIoT.csv,MinMaxScaler,DIF,42.63644807620104
data_N_BaIoT.csv,Normalizer,LUNAR,13.59167211938512
data_N_BaIoT.csv,Normalizer,DASVDD,93.46580982128398
data_N_BaIoT.csv,Normalizer,SUOD,21.634119807783502
data_N_BaIoT.csv,Normalizer,NeuTraLAD,60.1396329237198
data_N_BaIoT.csv,Normalizer,DIF,2.753201369074117
data_N_BaIoT.csv,RobustScaler,LUNAR,77.4174659347315
data_N_BaIoT.csv,RobustScaler,SUOD,91.2860611086944
data_N_BaIoT.csv,RobustScaler,NeuTraLAD,87.1617086265758
data_N_BaIoT.csv,RobustScaler,DIF,59.47295076431256
data_CICIoT2023.csv,QuantileTransformer,LUNAR,90.85753114301173
data_CICIoT2023.csv,QuantileTransformer,DASVDD,87.85194273100498
data_CICIoT2023.csv,QuantileTransformer,SUOD,90.44792010780311
data_CICIoT2023.csv,QuantileTransformer,NeuTraLAD,92.28093404234065
data_CICIoT2023.csv,QuantileTransformer,DIF,87.35814787388654
data_CICIoT2023.csv,MinMaxScaler,LUNAR,83.79827790677501
data_CICIoT2023.csv,MinMaxScaler,DASVDD,79.50559680681447
data_CICIoT2023.csv,MinMaxScaler,SUOD,69.91938761295904
data_CICIoT2023.csv,MinMaxScaler,NeuTraLAD,87.71559035392895
data_CICIoT2023.csv,MinMaxScaler,DIF,81.84116073128206
data_CICIoT2023.csv,Normalizer,LUNAR,29.38512939925299
data_CICIoT2023.csv,Normalizer,DASVDD,48.7980666949458
data_CICIoT2023.csv,Normalizer,SUOD,50.322552279144304
data_CICIoT2023.csv,Normalizer,NeuTraLAD,70.54556935464322
data_CICIoT2023.csv,Normalizer,DIF,29.099117533211427
data_CICIoT2023.csv,RobustScaler,LUNAR,84.08844501098109
data_CICIoT2023.csv,RobustScaler,DASVDD,17.260201933841707
data_CICIoT2023.csv,RobustScaler,SUOD,69.43608434888147
data_CICIoT2023.csv,RobustScaler,NeuTraLAD,89.50145728495664
data_CICIoT2023.csv,RobustScaler,DIF,77.80560032573388
data_BoTIoT.csv,QuantileTransformer,LUNAR,97.84859071116529
data_BoTIoT.csv,QuantileTransformer,DASVDD,98.44574433968316
data_BoTIoT.csv,QuantileTransformer,SUOD,84.27562482628866
data_BoTIoT.csv,QuantileTransformer,NeuTraLAD,98.52491750938933
data_BoTIoT.csv,QuantileTransformer,DIF,86.86929638894235
data_BoTIoT.csv,MinMaxScaler,LUNAR,93.76111360542762
data_BoTIoT.csv,MinMaxScaler,DASVDD,85.49368082725789
data_BoTIoT.csv,MinMaxScaler,SUOD,68.66442605776835
data_BoTIoT.csv,MinMaxScaler,NeuTraLAD,87.66842979211654
data_BoTIoT.csv,MinMaxScaler,DIF,50.044790798110014
data_BoTIoT.csv,Normalizer,LUNAR,96.14603439306153
data_BoTIoT.csv,Normalizer,DASVDD,51.67715776195669
data_BoTIoT.csv,Normalizer,SUOD,68.99926453295706
data_BoTIoT.csv,Normalizer,NeuTraLAD,51.156789173240966
data_BoTIoT.csv,Normalizer,DIF,32.66029832025599
data_BoTIoT.csv,RobustScaler,LUNAR,93.67140444273406
data_BoTIoT.csv,RobustScaler,DASVDD,72.30738887819896
data_BoTIoT.csv,RobustScaler,SUOD,70.32122093230423
data_BoTIoT.csv,RobustScaler,NeuTraLAD,97.28635608862665
data_BoTIoT.csv,RobustScaler,DIF,89.78853469594283
