Dataset,scaled,Model,AUCROC,AUCPR,MCC,Accuracy,F1 Score,Precision,Recall
data_ToNIoT.csv,StandardScaler,LUNAR,87.72516658763317,96.77156079166816,0.3648394383566601,71.17381798305547,0.8092245082523174,0.9729259541154724,0.6926768849667131
data_ToNIoT.csv,StandardScaler,DASVDD,33.37405089972913,82.95041821604372,-0.2428380879075482,42.18365673681333,0.5818343546155367,0.8044547690625854,0.4557206997987305
data_ToNIoT.csv,StandardScaler,SUOD,28.478985202804257,81.9608685565257,-0.142710933585518,21.337797212353102,0.2531300681154719,0.7813376051261514,0.1510295711410435
data_ToNIoT.csv,StandardScaler,NeuTraLAD,87.64000056954576,97.65822655458432,0.2938355915856671,59.37414594151408,0.7059347181008903,0.9774034511092852,0.5524849047840223
data_ToNIoT.csv,StandardScaler,DIF,37.95830411257108,86.83866800863498,-0.2462344248013601,42.07433725061493,0.5810436845226329,0.8033615742006013,0.4551014088868246
data_ToNIoT.csv,QuantileTransformer,LUNAR,94.85007383367928,98.82063915078876,0.6206052734814854,88.3574747198688,0.9303010471204188,0.9862966175195144,0.8803220312741911
data_ToNIoT.csv,QuantileTransformer,DASVDD,60.42734902936603,90.79814908331856,0.0577377271948016,51.85843126537305,0.6518086578375173,0.9012025143481824,0.5105279455023998
data_ToNIoT.csv,QuantileTransformer,SUOD,50.909315425804856,87.19517372025676,-0.0839473564388418,24.92484285323859,0.306925696984988,0.8286784741144414,0.188341848583372
data_ToNIoT.csv,QuantileTransformer,NeuTraLAD,75.8789096118239,95.04794806942624,0.260244314488334,58.37660562995354,0.6989523621269026,0.9663842579939874,0.5474531661247871
data_ToNIoT.csv,QuantileTransformer,DIF,46.43284334373115,88.5167003163932,-0.1333062230821156,45.70921016671222,0.6073334651116822,0.8397103033615742,0.4756928317076946
data_ToNIoT.csv,MinMaxScaler,LUNAR,86.45266434775024,96.64710414697896,0.3484787464681493,69.1445750204974,0.7928630400880653,0.9728725799189554,0.6690664189503019
data_ToNIoT.csv,MinMaxScaler,DASVDD,53.7922984614514,88.15598165635043,-0.0494702566212646,48.33971030336157,0.6261187756514859,0.8666666666666667,0.4900913454095061
data_ToNIoT.csv,MinMaxScaler,SUOD,28.783782310232663,81.54234444099299,-0.1638270532552658,20.28559715769336,0.2373014316532653,0.7629255989911727,0.1405016256386437
data_ToNIoT.csv,MinMaxScaler,NeuTraLAD,44.2021839737389,88.1833549274863,-0.1651211061482054,44.64334517627767,0.5994660866126161,0.8294117647058824,0.4693450998606595
data_ToNIoT.csv,MinMaxScaler,DIF,39.40827122851204,86.95695756192382,-0.2059029241873442,43.372506149221095,0.5904328918758648,0.8163432631866631,0.4624554884657068
data_ToNIoT.csv,Normalizer,LUNAR,92.12558583460354,98.0704482411344,0.5807561383919061,87.33943700464609,0.9242343705278652,0.9794609584886038,0.8749032357950147
data_ToNIoT.csv,Normalizer,DASVDD,31.057509073531065,80.35456771927176,-0.0772382335652905,47.294342716589234,0.618005348123205,0.8576140736668499,0.4830469112865769
data_ToNIoT.csv,Normalizer,SUOD,42.87499813005145,85.8962041416894,0.004688163020853,21.337797212353102,0.2186630471666101,0.8866263070996148,0.1247097073850441
data_ToNIoT.csv,Normalizer,NeuTraLAD,82.03663891572903,96.77445037118328,0.2833948389019313,59.10084722601804,0.7041320680110715,0.973885698660104,0.551401145688187
data_ToNIoT.csv,Normalizer,DIF,61.0208571808097,92.43319441331748,0.0619831483120665,51.99508062312107,0.652796995453647,0.9025690079256627,0.5113020591422821
data_ToNIoT.csv,RobustScaler,LUNAR,86.45259901219855,96.65272836782144,0.3484787464681493,69.1445750204974,0.7928630400880653,0.9728725799189554,0.6690664189503019
data_ToNIoT.csv,RobustScaler,DASVDD,63.60448173046751,91.51163182371492,0.1273626335179448,54.09948073244056,0.6680173947420439,0.9236130090188576,0.52322340919647
data_ToNIoT.csv,RobustScaler,SUOD,29.591005304165375,81.75559456248074,-0.1653599863614128,20.230937414594152,0.2365788269142745,0.7616842105263157,0.1400371574547143
data_ToNIoT.csv,RobustScaler,NeuTraLAD,85.65653487990245,97.61611800640831,0.2967549360968116,59.5517901065865,0.7074520656256177,0.978136102760317,0.5541105434277752
data_ToNIoT.csv,RobustScaler,DIF,76.931474361158,95.42250311978766,0.2275545718853948,57.32440557529379,0.6913421624827041,0.95586225744739,0.5414924910976932
data_ToNIoT.csv,QuantileTransformer,LUNAR,94.48575378572212,98.70856809471589,0.6406359357577441,89.58731893960098,0.9382245642480744,0.9847685500340368,0.895881715435826
data_ToNIoT.csv,QuantileTransformer,DASVDD,56.142181695555806,89.97562330234734,0.0411805848374688,51.325498770155775,0.6479541411346116,0.8958731893960098,0.5075089023068586
data_ToNIoT.csv,QuantileTransformer,SUOD,50.909315425804856,87.19517372025676,-0.0839473564388418,24.92484285323859,0.306925696984988,0.8286784741144414,0.188341848583372
data_ToNIoT.csv,QuantileTransformer,NeuTraLAD,83.85385491470241,96.38342471328652,0.2483571353599925,57.99398742825909,0.6961850168017395,0.9625580759770428,0.5452856479331166
data_ToNIoT.csv,QuantileTransformer,DIF,46.43284334373115,88.5167003163932,-0.1333062230821156,45.70921016671222,0.6073334651116822,0.8397103033615742,0.4756928317076946
data_ToNIoT.csv,MinMaxScaler,LUNAR,86.45266434775024,96.64710414697896,0.3484787464681493,69.1445750204974,0.7928630400880653,0.9728725799189554,0.6690664189503019
data_ToNIoT.csv,MinMaxScaler,DASVDD,53.7922984614514,88.15598165635043,-0.0494702566212646,48.33971030336157,0.6261187756514859,0.8666666666666667,0.4900913454095061
data_ToNIoT.csv,MinMaxScaler,SUOD,28.783782310232663,81.54234444099299,-0.1638270532552658,20.28559715769336,0.2373014316532653,0.7629255989911727,0.1405016256386437
data_ToNIoT.csv,MinMaxScaler,NeuTraLAD,44.2021839737389,88.1833549274863,-0.1651211061482054,44.64334517627767,0.5994660866126161,0.8294117647058824,0.4693450998606595
data_ToNIoT.csv,MinMaxScaler,DIF,39.40827122851204,86.95695756192382,-0.2059029241873442,43.372506149221095,0.5904328918758648,0.8163432631866631,0.4624554884657068
data_ToNIoT.csv,Normalizer,LUNAR,92.12558583460354,98.0704482411344,0.5807561383919061,87.33943700464609,0.9242343705278652,0.9794609584886038,0.8749032357950147
data_ToNIoT.csv,Normalizer,DASVDD,31.057509073531065,80.35456771927176,-0.0772382335652905,47.294342716589234,0.618005348123205,0.8576140736668499,0.4830469112865769
data_ToNIoT.csv,Normalizer,SUOD,42.87499813005145,85.8962041416894,0.004688163020853,21.337797212353102,0.2186630471666101,0.8866263070996148,0.1247097073850441
data_ToNIoT.csv,Normalizer,NeuTraLAD,82.03663891572903,96.77445037118328,0.2833948389019313,59.10084722601804,0.7041320680110715,0.973885698660104,0.551401145688187
data_ToNIoT.csv,Normalizer,DIF,61.0208571808097,92.43319441331748,0.0619831483120665,51.99508062312107,0.652796995453647,0.9025690079256627,0.5113020591422821
data_ToNIoT.csv,RobustScaler,LUNAR,86.45259901219855,96.65272836782144,0.3484787464681493,69.1445750204974,0.7928630400880653,0.9728725799189554,0.6690664189503019
data_ToNIoT.csv,RobustScaler,DASVDD,63.60448173046751,91.51163182371492,0.1273626335179448,54.09948073244056,0.6680173947420439,0.9236130090188576,0.52322340919647
data_ToNIoT.csv,RobustScaler,SUOD,29.591005304165375,81.75559456248074,-0.1653599863614128,20.230937414594152,0.2365788269142745,0.7616842105263157,0.1400371574547143
data_ToNIoT.csv,RobustScaler,NeuTraLAD,85.65653487990245,97.61611800640831,0.2967549360968116,59.5517901065865,0.7074520656256177,0.978136102760317,0.5541105434277752
data_ToNIoT.csv,RobustScaler,DIF,76.931474361158,95.42250311978766,0.2275545718853948,57.32440557529379,0.6913421624827041,0.95586225744739,0.5414924910976932
data_N_BaIoT.csv,QuantileTransformer,LUNAR,91.5360542425534,99.089748791054,0.4521980775205219,77.79104058418761,0.8611318435263643,0.994423037923342,0.759349593495935
data_N_BaIoT.csv,QuantileTransformer,DASVDD,89.45034646277132,98.66781109803038,0.2949395391091167,58.57323409633478,0.7055300459173488,0.992557225108833,0.5472706155632985
data_N_BaIoT.csv,QuantileTransformer,SUOD,99.54913014519316,99.93398502439278,0.929921293660412,98.79581519449516,0.9933492331258604,0.9950277745406518,0.991676345334882
data_N_BaIoT.csv,QuantileTransformer,NeuTraLAD,96.77144937290689,99.6554475525628,0.3197972724957275,59.29293638533913,0.710638616455791,0.9997893406361912,0.551219512195122
data_N_BaIoT.csv,QuantileTransformer,DIF,30.352913271839142,85.79779076476702,-0.2205403760906008,43.58938351355147,0.5990217608305051,0.8427187192809998,0.4646535036778939
data_N_BaIoT.csv,MinMaxScaler,LUNAR,99.5024041586389,99.94307750204744,0.7844976000297298,96.6164753781896,0.9816778804120576,0.9640150808167532,1.0
data_N_BaIoT.csv,MinMaxScaler,DASVDD,99.04711511856668,99.7799496848629,0.3171905260373401,59.236250043873504,0.7101572248565011,0.9988065988065988,0.5509390125847048
data_N_BaIoT.csv,MinMaxScaler,SUOD,98.33952994540986,99.80536572256216,0.949300458287128,99.1541188445474,0.9953551122675148,0.9908672294704528,0.9998838334946756
data_N_BaIoT.csv,MinMaxScaler,NeuTraLAD,99.80450461114796,99.9789154266993,0.3212881177208099,59.35558597451826,0.7110057399550787,1.0,0.5515972894482091
data_N_BaIoT.csv,MinMaxScaler,DIF,48.74338429718756,90.94948457237815,0.0910998790317677,52.65171457653294,0.6633391564761667,0.932958932958933,0.5146176185866409
data_N_BaIoT.csv,Normalizer,LUNAR,56.59803600464491,93.33305072490342,0.2441303290392679,51.99185707767365,0.6428347608105285,0.987009862881886,0.4766311713455953
data_N_BaIoT.csv,Normalizer,DASVDD,94.04570189013856,99.20700837834536,0.3053798205967504,58.892281773191534,0.7077115048664836,0.9953667953667954,0.5490416263310746
data_N_BaIoT.csv,Normalizer,SUOD,27.645641323205915,82.03284785553629,-0.5678539396142525,6.135270787266154,7.478033277248083e-05,0.0010869565217391,3.872216844143272e-05
data_N_BaIoT.csv,Normalizer,NeuTraLAD,66.9160893805252,95.84479023151704,0.1148828309638454,53.18170650380822,0.666633344163147,0.9400197349873132,0.5164375605033882
data_N_BaIoT.csv,Normalizer,DIF,4.040178970202376,76.63513929338053,-0.3176951500955785,40.74620055456109,0.5786872972298478,0.8138996138996138,0.4489448209099709
data_N_BaIoT.csv,RobustScaler,LUNAR,99.58519203857112,99.94984730631748,0.83336106925856,97.3324909620582,0.98549895058195,0.9714124506300544,1.0
data_N_BaIoT.csv,RobustScaler,SUOD,98.42328733199756,99.81802284748896,0.9497393827864128,99.16113860517356,0.99539401414558,0.9908302639656232,1.0
data_N_BaIoT.csv,RobustScaler,NeuTraLAD,87.91827676183324,98.56545041773252,0.2814016119717348,53.25892387069601,0.652850551341206,0.9988832163369497,0.4848789932236205
data_N_BaIoT.csv,RobustScaler,DIF,60.05182103851229,94.34578678294493,0.200288645655994,55.83166614018462,0.6859495882206139,0.9647595647595648,0.5321587608906099
data_CICIoT2023.csv,QuantileTransformer,LUNAR,93.9423335740867,99.79370549815263,0.2699305174430377,75.45469770557696,0.8553550984959141,0.998111295374977,0.7483249291980383
data_CICIoT2023.csv,QuantileTransformer,DASVDD,87.18146208724666,99.54366768008572,0.170915932890497,52.92245854965667,0.6797019211048062,0.9990621022308568,0.5150583684465013
data_CICIoT2023.csv,QuantileTransformer,SUOD,91.41565361014682,99.6998374460126,0.2364004540351206,69.85094624016077,0.8162348665809191,0.9981524941329204,0.6904054707467017
data_CICIoT2023.csv,QuantileTransformer,NeuTraLAD,91.44816528218782,99.70276051624738,0.1740485210522964,52.97605091274493,0.6800665436065724,0.9995980438132244,0.5153346687849693
data_CICIoT2023.csv,QuantileTransformer,DIF,87.64509313521688,99.53769919797637,0.1615181684050986,52.7616814603919,0.6786080535995077,0.9974542774837544,0.5142294674310977
data_CICIoT2023.csv,MinMaxScaler,LUNAR,90.0327106174845,99.66448528034144,0.2797118802596784,76.95528387204823,0.8654041787307301,0.998014619619168,0.7639013607791669
