Dataset,scaled,Model,AUCROC
data_ToNIoT.csv,StandardScaler,LUNAR,87.72516658763317
data_ToNIoT.csv,StandardScaler,DASVDD,33.37405089972913
data_ToNIoT.csv,StandardScaler,SUOD,28.478985202804257
data_ToNIoT.csv,StandardScaler,NeuTraLAD,87.64000056954576
data_ToNIoT.csv,StandardScaler,DIF,37.95830411257108
data_ToNIoT.csv,QuantileTransformer,LUNAR,94.85007383367928
data_ToNIoT.csv,QuantileTransformer,DASVDD,60.42734902936603
data_ToNIoT.csv,QuantileTransformer,SUOD,50.909315425804856
data_ToNIoT.csv,QuantileTransformer,NeuTraLAD,75.8789096118239
data_ToNIoT.csv,QuantileTransformer,DIF,46.43284334373115
data_ToNIoT.csv,MinMaxScaler,LUNAR,86.45266434775024
data_ToNIoT.csv,MinMaxScaler,DASVDD,53.7922984614514
data_ToNIoT.csv,MinMaxScaler,SUOD,28.783782310232663
data_ToNIoT.csv,MinMaxScaler,NeuTraLAD,44.2021839737389
data_ToNIoT.csv,MinMaxScaler,DIF,39.40827122851204
data_ToNIoT.csv,Normalizer,LUNAR,92.12558583460354
data_ToNIoT.csv,Normalizer,DASVDD,31.057509073531065
data_ToNIoT.csv,Normalizer,SUOD,42.87499813005145
data_ToNIoT.csv,Normalizer,NeuTraLAD,82.03663891572903
data_ToNIoT.csv,Normalizer,DIF,61.0208571808097
data_ToNIoT.csv,RobustScaler,LUNAR,86.45259901219855
data_ToNIoT.csv,RobustScaler,DASVDD,63.60448173046751
data_ToNIoT.csv,RobustScaler,SUOD,29.591005304165375
data_ToNIoT.csv,RobustScaler,NeuTraLAD,85.65653487990245
data_ToNIoT.csv,RobustScaler,DIF,76.931474361158
data_ToNIoT.csv,QuantileTransformer,LUNAR,94.48575378572212
data_ToNIoT.csv,QuantileTransformer,DASVDD,56.142181695555806
data_ToNIoT.csv,QuantileTransformer,SUOD,50.909315425804856
data_ToNIoT.csv,QuantileTransformer,NeuTraLAD,83.85385491470241
data_ToNIoT.csv,QuantileTransformer,DIF,46.43284334373115
data_ToNIoT.csv,MinMaxScaler,LUNAR,86.45266434775024
data_ToNIoT.csv,MinMaxScaler,DASVDD,53.7922984614514
data_ToNIoT.csv,MinMaxScaler,SUOD,28.783782310232663
data_ToNIoT.csv,MinMaxScaler,NeuTraLAD,44.2021839737389
data_ToNIoT.csv,MinMaxScaler,DIF,39.40827122851204
data_ToNIoT.csv,Normalizer,LUNAR,92.12558583460354
data_ToNIoT.csv,Normalizer,DASVDD,31.057509073531065
data_ToNIoT.csv,Normalizer,SUOD,42.87499813005145
data_ToNIoT.csv,Normalizer,NeuTraLAD,82.03663891572903
data_ToNIoT.csv,Normalizer,DIF,61.0208571808097
data_ToNIoT.csv,RobustScaler,LUNAR,86.45259901219855
data_ToNIoT.csv,RobustScaler,DASVDD,63.60448173046751
data_ToNIoT.csv,RobustScaler,SUOD,29.591005304165375
data_ToNIoT.csv,RobustScaler,NeuTraLAD,85.65653487990245
data_ToNIoT.csv,RobustScaler,DIF,76.931474361158
data_N_BaIoT.csv,QuantileTransformer,LUNAR,91.5360542425534
data_N_BaIoT.csv,QuantileTransformer,DASVDD,89.45034646277132
data_N_BaIoT.csv,QuantileTransformer,SUOD,99.54913014519316
data_N_BaIoT.csv,QuantileTransformer,NeuTraLAD,96.77144937290689
data_N_BaIoT.csv,QuantileTransformer,DIF,30.352913271839142
data_N_BaIoT.csv,MinMaxScaler,LUNAR,99.5024041586389
data_N_BaIoT.csv,MinMaxScaler,DASVDD,99.04711511856668
data_N_BaIoT.csv,MinMaxScaler,SUOD,98.33952994540986
data_N_BaIoT.csv,MinMaxScaler,NeuTraLAD,99.80450461114796
data_N_BaIoT.csv,MinMaxScaler,DIF,48.74338429718756
data_N_BaIoT.csv,Normalizer,LUNAR,56.59803600464491
data_N_BaIoT.csv,Normalizer,DASVDD,94.04570189013856
data_N_BaIoT.csv,Normalizer,SUOD,27.645641323205915
data_N_BaIoT.csv,Normalizer,NeuTraLAD,66.9160893805252
data_N_BaIoT.csv,Normalizer,DIF,4.040178970202376
data_N_BaIoT.csv,RobustScaler,LUNAR,99.58519203857112
data_N_BaIoT.csv,RobustScaler,SUOD,98.42328733199756
data_N_BaIoT.csv,RobustScaler,NeuTraLAD,87.91827676183324
data_N_BaIoT.csv,RobustScaler,DIF,60.05182103851229
data_CICIoT2023.csv,QuantileTransformer,LUNAR,93.9423335740867
data_CICIoT2023.csv,QuantileTransformer,DASVDD,87.18146208724666
data_CICIoT2023.csv,QuantileTransformer,SUOD,91.41565361014682
data_CICIoT2023.csv,QuantileTransformer,NeuTraLAD,91.44816528218782
data_CICIoT2023.csv,QuantileTransformer,DIF,87.64509313521688
data_CICIoT2023.csv,MinMaxScaler,LUNAR,90.0327106174845
data_CICIoT2023.csv,MinMaxScaler,DASVDD,79.47650247317168
data_CICIoT2023.csv,MinMaxScaler,SUOD,61.77580312818903
data_CICIoT2023.csv,MinMaxScaler,NeuTraLAD,89.84586098029735
data_CICIoT2023.csv,MinMaxScaler,DIF,81.85395227164646
data_CICIoT2023.csv,Normalizer,LUNAR,34.45130961683874
data_CICIoT2023.csv,Normalizer,DASVDD,48.80703265626207
data_CICIoT2023.csv,Normalizer,SUOD,34.21729955978242
data_CICIoT2023.csv,Normalizer,NeuTraLAD,70.54309499464763
data_CICIoT2023.csv,Normalizer,DIF,31.32308226367256
data_CICIoT2023.csv,RobustScaler,LUNAR,90.05311881673536
data_CICIoT2023.csv,RobustScaler,DASVDD,17.423592108328744
data_CICIoT2023.csv,RobustScaler,SUOD,59.3228288094775
data_CICIoT2023.csv,RobustScaler,NeuTraLAD,89.29890284079526
data_CICIoT2023.csv,RobustScaler,DIF,77.71632403712513
data_BoTIoT.csv,QuantileTransformer,LUNAR,99.89299952251656
data_BoTIoT.csv,QuantileTransformer,DASVDD,98.99513251947349
data_BoTIoT.csv,QuantileTransformer,SUOD,86.28988519017382
data_BoTIoT.csv,QuantileTransformer,NeuTraLAD,99.44168145440032
data_BoTIoT.csv,QuantileTransformer,DIF,86.72566651700768
data_BoTIoT.csv,MinMaxScaler,LUNAR,99.32284366336704
data_BoTIoT.csv,MinMaxScaler,DASVDD,87.41776167161966
data_BoTIoT.csv,MinMaxScaler,SUOD,67.48680364027679
data_BoTIoT.csv,MinMaxScaler,NeuTraLAD,90.63183318011104
data_BoTIoT.csv,MinMaxScaler,DIF,53.11686229234815
